220000  吉林省	1
220100000000	长春市	2
220101000000	市辖区	3
220102000000	南关区	3
220102001000	南岭街道	4
220102002000	自强街道	4
220102003000	民康街道	4
220102004000	新春街道	4
220102005000	长通街道	4
220102006000	全安街道	4
220102007000	曙光街道	4
220102008000	永吉街道	4
220102009000	桃源街道	4
220102010000	鸿城街道	4
220102011000	明珠街道	4
220102012000	富裕街道	4
220102200000	幸福乡	4
220103000000	宽城区	3
220103001000	新发街道	4
220103002000	站前街道	4
220103003000	南广街道	4
220103004000	东广街道	4
220103005000	群英街道	4
220103006000	兴业街道	4
220103007000	凯旋街道	4
220103008000	团山街道	4
220103009000	柳影街道	4
220103010000	欣园街道	4
220103100000	兰家镇	4
220103101000	米沙子镇	4
220103102000	万宝镇	4
220103171000	合隆镇	4
220104000000	朝阳区	3
220104001000	前进街道	4
220104002000	桂林街道	4
220104003000	南湖街道	4
220104004000	永昌街道	4
220104005000	重庆街道	4
220104006000	清和街道	4
220104007000	红旗街道	4
220104008000	湖西街道	4
220104009000	富锋街道	4
220104100000	乐山镇	4
220104101000	永春镇	4
220105000000	二道区	3
220105001000	东盛街道	4
220105002000	吉林街道	4
220105003000	荣光街道	4
220105004000	东站街道	4
220105005000	远达街道	4
220105006000	八里堡街道	4
220105007000	长青街道	4
220105100000	英俊镇	4
220105173000	劝农山镇	4
220105174000	泉眼镇	4
220105270000	四家乡	4
220106000000	绿园区	3
220106001000	正阳街道	4
220106003000	春城街道	4
220106005000	青年街道	4
220106006000	普阳街道	4
220106007000	铁西街道	4
220106010000	林园街道	4
220106011000	同心街道	4
220106100000	合心镇	4
220106101000	西新镇	4
220106102000	城西镇	4
220106400000	绿园经济开发区	4
220112000000	双阳区	3
220112001000	云山街道	4
220112002000	平湖街道	4
220112003000	奢岭街道	4
220112004000	山河街道	4
220112100000	齐家镇	4
220112101000	太平镇	4
220112102000	鹿乡镇	4
220112270000	双营子回族乡	4
220113000000	九台区	3
220113001000	九台街道	4
220113002000	营城街道	4
220113003000	九郊街道	4
220113004000	西营城街道	4
220113005000	土们岭街道	4
220113006000	苇子沟街道	4
220113007000	兴隆街道	4
220113008000	纪家街道	4
220113009000	波泥河街道	4
220113010000	卡伦湖街道	4
220113011000	东湖街道	4
220113012000	龙嘉街道	4
220113013000	兴港街道	4
220113014000	沐石河街道	4
220113015000	城子街街道	4
220113102000	其塔木镇	4
220113103000	上河湾镇	4
220113200000	胡家回族乡	4
220113201000	莽卡满族乡	4
220122000000	农安县	3
220122001000	兴农街道	4
220122002000	宝塔街道	4
220122003000	和谐街道	4
220122004000	黄龙街道	4
220122100000	农安镇	4
220122101000	伏龙泉镇	4
220122102000	哈拉海镇	4
220122103000	靠山镇	4
220122104000	开安镇	4
220122105000	烧锅镇	4
220122106000	高家店镇	4
220122107000	华家镇	4
220122108000	三盛玉镇	4
220122109000	巴吉垒镇	4
220122110000	三岗镇	4
220122200000	前岗乡	4
220122201000	龙王乡	4
220122203000	万顺乡	4
220122204000	杨树林乡	4
220122205000	永安乡	4
220122206000	青山口乡	4
220122207000	黄鱼圈乡	4
220122208000	新农乡	4
220122209000	万金塔乡	4
220122210000	小城子乡	4
220122400000	洼中高农场	4
220171000000	长春经济技术开发区	3
220171001000	临河街道	4
220171002000	东方广场街道	4
220171003000	会展街道	4
220171004000	世纪街道	4
220171100000	兴隆山镇	4
220172000000	长春净月高新技术产业开发区	3
220172001000	永兴街道	4
220172002000	净月街道	4
220172003000	福祉街道	4
220172004000	德正街道	4
220172005000	彩织街道	4
220172006000	德容街道	4
220172007000	博硕街道	4
220172100000	新立城镇	4
220172101000	新湖镇	4
220172102000	玉潭镇	4
220173000000	长春高新技术产业开发区	3
220173001000	硅谷街道	4
220173002000	北湖街道	4
220173200000	奋进乡	4
220173201000	双德乡	4
