370000  山东省	1
370100000000	济南市	2
370101000000	市辖区	3
370102000000	历下区	3
370102001000	解放路街道	4
370102002000	千佛山街道	4
370102003000	趵突泉街道	4
370102004000	泉城路街道	4
370102005000	大明湖街道	4
370102006000	东关街道	4
370102007000	文东街道	4
370102008000	建新街道	4
370102009000	甸柳街道	4
370102010000	燕山街道	4
370102011000	姚家街道	4
370102012000	龙洞街道	4
370102013000	智远街道	4
370103000000	市中区	3
370103002000	大观园街道	4
370103003000	杆石桥街道	4
370103004000	四里村街道	4
370103006000	魏家庄街道	4
370103008000	二七街道	4
370103009000	七里山街道	4
370103010000	六里山街道	4
370103012000	舜玉路街道	4
370103014000	泺源街道	4
370103015000	王官庄街道	4
370103016000	舜耕街道	4
370103017000	白马山街道	4
370103018000	七贤街道	4
370103019000	十六里河街道	4
370103020000	兴隆街道	4
370103021000	党家街道	4
370103022000	陡沟街道	4
370104000000	槐荫区	3
370104001000	振兴街街道	4
370104002000	中大槐树街道	4
370104003000	道德街街道	4
370104004000	西市场街道	4
370104005000	五里沟街道	4
370104006000	营市街街道	4
370104007000	青年公园街道	4
370104008000	南辛庄街道	4
370104009000	段店北路街道	4
370104010000	张庄路街道	4
370104011000	匡山街道	4
370104012000	美里湖街道	4
370104013000	腊山街道	4
370104014000	兴福街道	4
370104015000	玉清湖街道	4
370104016000	吴家堡街道	4
370105000000	天桥区	3
370105001000	无影山街道	4
370105003000	天桥东街街道	4
370105004000	北村街道	4
370105005000	南村街道	4
370105006000	堤口路街道	4
370105007000	北坦街道	4
370105009000	制锦市街道	4
370105010000	宝华街道	4
370105011000	官扎营街道	4
370105012000	纬北路街道	4
370105013000	药山街道	4
370105014000	北园街道	4
370105015000	泺口街道	4
370105016000	桑梓店街道	4
370105017000	大桥街道	4
370112000000	历城区	3
370112001000	山大路街道	4
370112002000	洪家楼街道	4
370112003000	东风街道	4
370112004000	全福街道	4
370112007000	华山街道	4
370112008000	荷花路街道	4
370112009000	王舍人街道	4
370112010000	鲍山街道	4
370112011000	郭店街道	4
370112012000	唐冶街道	4
370112013000	港沟街道	4
370112016000	董家街道	4
370112017000	彩石街道	4
370112018000	仲宫街道	4
370112019000	柳埠街道	4
370112020000	唐王街道	4
370112021000	西营街道	4
370113000000	长清区	3
370113001000	文昌街道	4
370113002000	崮云湖街道	4
370113003000	平安街道	4
370113004000	五峰山街道	4
370113005000	归德街道	4
370113006000	张夏街道	4
370113007000	万德街道	4
370113102000	孝里镇	4
370113107000	马山镇	4
370113108000	双泉镇	4
370114000000	章丘区	3
370114001000	明水街道	4
370114002000	双山街道	4
370114003000	枣园街道	4
370114004000	龙山街道	4
370114005000	埠村街道	4
