450000  广西壮族自治区	1
450100000000	南宁市	2
450101000000	市辖区	3
450102000000	兴宁区	3
450102001000	民生街道	4
450102002000	朝阳街道	4
450102003000	兴东街道	4
450102101000	三塘镇	4
450102102000	五塘镇	4
450102104000	昆仑镇	4
450103000000	青秀区	3
450103001000	新竹街道	4
450103002000	中山街道	4
450103003000	建政街道	4
450103004000	南湖街道	4
450103005000	津头街道	4
450103100000	刘圩镇	4
450103101000	南阳镇	4
450103102000	伶俐镇	4
450103103000	长塘镇	4
450103400000	仙葫经济开发区管理委员会	4
450103451000	青秀山管理委员会	4
450105000000	江南区	3
450105001000	福建园街道	4
450105002000	江南街道	4
450105003000	沙井街道	4
450105004000	那洪街道	4
450105005000	金凯街道	4
450105102000	吴圩镇	4
450105103000	苏圩镇	4
450105104000	延安镇	4
450105105000	江西镇	4
450105450000	经济技术开发区	4
450105451000	明阳工业园区管委会	4
450107000000	西乡塘区	3
450107001000	衡阳街道	4
450107002000	北湖街道	4
450107003000	西乡塘街道	4
450107004000	安吉街道	4
450107005000	华强街道	4
450107006000	新阳街道	4
450107007000	上尧街道	4
450107008000	安宁街道	4
450107009000	石埠街道	4
450107010000	心圩街道	4
450107100000	金陵镇	4
450107101000	双定镇	4
450107105000	坛洛镇	4
450107450000	那龙矿务局	4
450107454000	高新技术开发区管委会	4
450108000000	良庆区	3
450108001000	大沙田街道	4
450108002000	玉洞街道	4
450108100000	良庆镇	4
450108101000	那马镇	4
450108102000	那陈镇	4
450108103000	大塘镇	4
450108104000	南晓镇	4
450108452000	良庆经济开发区管委会	4
450109000000	邕宁区	3
450109100000	蒲庙镇	4
450109101000	那楼镇	4
450109102000	新江镇	4
450109103000	百济镇	4
450109104000	中和镇	4
450110000000	武鸣区	3
450110100000	城厢镇	4
450110102000	太平镇	4
450110103000	双桥镇	4
450110104000	宁武镇	4
450110105000	锣圩镇	4
450110106000	仙湖镇	4
450110107000	府城镇	4
450110108000	陆斡镇	4
450110109000	两江镇	4
450110110000	罗波镇	4
450110111000	灵马镇	4
450110112000	甘圩镇	4
450110113000	马头镇	4
450110451000	南宁华侨投资区	4
450123000000	隆安县	3
450123100000	城厢镇	4
450123101000	南圩镇	4
450123102000	雁江镇	4
450123103000	那桐镇	4
450123104000	乔建镇	4
450123105000	丁当镇	4
450123201000	古潭乡	4
450123203000	都结乡	4
450123204000	布泉乡	4
450123205000	屏山乡	4
450123450000	隆安华侨管理区管理委员会	4
450124000000	马山县	3
450124100000	白山镇	4
450124101000	百龙滩镇	4
450124102000	林圩镇	4
450124103000	古零镇	4
450124104000	金钗镇	4
450124105000	周鹿镇	4
450124106000	永州镇	4
450124200000	乔利乡	4
450124201000	加方乡	4
450124202000	古寨瑶族乡	4
450124203000	里当瑶族乡	4
450125000000	上林县	3
450125100000	大丰镇	4
450125101000	明亮镇	4
450125102000	巷贤镇	4
450125103000	白圩镇	4
450125104000	三里镇	4
450125105000	乔贤镇	4
450125106000	西燕镇	4
450125200000	澄泰乡	4
450125202000	木山乡	4
450125203000	塘红乡	4
450125205000	镇圩瑶族乡	4
450126000000	宾阳县	3
450126100000	宾州镇	4
450126101000	黎塘镇	4
450126102000	甘棠镇	4
450126103000	思陇镇	4
450126104000	新桥镇	4
450126105000	新圩镇	4
450126106000	邹圩镇	4
450126107000	大桥镇	4
450126108000	武陵镇	4
450126109000	中华镇	4
450126110000	古辣镇	4
450126111000	露圩镇	4
450126112000	王灵镇	4
450126113000	和吉镇	4
450126114000	洋桥镇	4
450126115000	陈平镇	4
450126451000	廖平农场	4
450127000000	横县	3
450127100000	横州镇	4
450127101000	百合镇	4
450127102000	那阳镇	4
450127103000	南乡镇	4
450127104000	新福镇	4
450127105000	莲塘镇	4
450127106000	平马镇	4
450127107000	峦城镇	4
450127108000	六景镇	4
450127110000	石塘镇	4
450127112000	陶圩镇	4
450127113000	校椅镇	4
450127114000	云表镇	4
450127115000	马岭镇	4
450127118000	马山镇	4
450127119000	平朗镇	4
450127204000	镇龙乡	4
450127400000	南宁六景工业园区管委会	4
450200000000	柳州市	2
450201000000	市辖区	3
450202000000	城中区	3
450202001000	城中街道	4
450202002000	公园街道	4
450202003000	中南街道	4
450202004000	沿江街道	4
450202005000	潭中街道	4
450202006000	河东街道	4
450202007000	静兰街道	4
450203000000	鱼峰区	3
450203001000	天马街道	4
450203002000	驾鹤街道	4
450203003000	箭盘山街道	4
450203004000	五里亭街道	4
450203005000	荣军街道	4
450203006000	白莲街道	4
450203007000	麒麟街道	4
450203008000	阳和街道	4
450203100000	雒容镇	4
450203101000	洛埠镇	4
450203102000	白沙镇	4
450203103000	里雍镇	4
450204000000	柳南区	3
450204001000	河西街道	4
450204002000	南站街道	4
450204003000	鹅山街道	4
450204004000	柳南街道	4
450204005000	柳石街道	4
450204006000	银山街道	4
450204007000	潭西街道	4
450204008000	南环街道	4
450204100000	太阳村镇	4
450204101000	洛满镇	4
450204102000	流山镇	4
450205000000	柳北区	3
