650000  新疆维吾尔自治区	1
650100000000	乌鲁木齐市	2
650101000000	市辖区	3
650102000000	天山区	3
650102002000	燕儿窝街道	4
650102003000	胜利路街道	4
650102004000	团结路街道	4
650102005000	解放南路街道	4
650102006000	新华南路街道	4
650102007000	和平路街道	4
650102008000	解放北路街道	4
650102009000	幸福路街道	4
650102010000	东门街道	4
650102011000	新华北路街道	4
650102012000	青年路街道	4
650102013000	碱泉街道	4
650102014000	延安路街道	4
650102015000	红雁街道	4
650102016000	南草滩街道	4
650102017000	东泉路街道	4
650102400000	二道桥片区	4
650102401000	黑甲山片区	4
650102402000	大湾片区	4
650102403000	赛马场片区	4
650102404000	南湾街片区	4
650102405000	大巴扎片区	4
650103000000	沙依巴克区	3
650103001000	长江路街道	4
650103002000	和田街街道	4
650103003000	扬子江路街道	4
650103004000	友好南路街道	4
650103005000	友好北路街道	4
650103006000	八一街道	4
650103007000	炉院街街道	4
650103008000	西山街道	4
650103009000	雅玛里克山街道	4
650103010000	红庙子街道	4
650103011000	长胜东街道	4
650103012000	长胜西街道	4
650103013000	长胜南街道	4
650103014000	火车南站街道	4
650103015000	仓房沟片区街道	4
650103016000	环卫路街道	4
650103017000	骑马山街道	4
650103018000	平顶山街道	4
650103501000	兵团农十二师一零四团	4
650103502000	兵团十二师西山农场	4
650104000000	新市区	3
650104001000	北京路街道	4
650104002000	二工街道	4
650104003000	三工街道	4
650104004000	石油新村街道	4
650104005000	迎宾路街道	4
650104006000	喀什东路街道	4
650104009000	八家户街道	4
650104010000	银川路街道	4
650104011000	南纬路街道	4
650104012000	杭州路街道	4
650104013000	鲤鱼山街道	4
650104014000	百园路街道	4
650104015000	正扬路街道	4
650104016000	机场街道	4
650104017000	友谊路街道	4
650104018000	高新街街道	4
650104019000	长春中路街道	4
650104100000	安宁渠镇	4
650104200000	二工乡	4
650104201000	地窝堡乡	4
650104202000	青格达湖乡	4
650104203000	六十户乡	4
650105000000	水磨沟区	3
650105001000	水磨沟街道	4
650105002000	六道湾街道	4
650105003000	苇湖梁街道	4
650105004000	八道湾街道	4
650105005000	新民路街道	4
650105006000	南湖南路街道	4
650105007000	南湖北路街道	4
650105008000	七道湾街道	4
650105010000	榆树沟街道	4
650105011000	石人子沟街道	4
650105012000	水塔山街道	4
650105013000	华光街街道	4
650105014000	龙盛街街道	4
650105015000	振安街街道	4
650105016000	河马泉街道	4
650106000000	头屯河区	3
650106001000	钢城片区街道	4
650106002000	火车西站片区街道	4
650106003000	王家沟片区街道	4
650106004000	乌昌路片区街道	4
650106005000	北站西路片区街道	4
650106007000	中亚北路片区街道	4
650106008000	中亚南路片区街道	4
650106009000	嵩山街片区街道	4
650106010000	高铁片区街道	4
650106011000	白鸟湖片区街道	4
650106012000	西湖片区街道	4
650106013000	北站东路片区街道	4
650106014000	两河片区街道	4
650106015000	乌鲁木齐站片区街道	4
650106198000	区直辖村级区划	4
650106501000	兵团十二师三坪农场	4
650106502000	兵团十二师五一农场	4
650106503000	新疆兵团十二师头屯河农场	4
650107000000	达坂城区	3
650107001000	艾维尔沟街道	4
650107004000	乌拉泊街道	4
650107006000	达坂城区盐湖街道	4
650107100000	达坂城镇	4
650107200000	东沟乡	4
650107201000	西沟乡	4
650107202000	阿克苏乡	4
650107400000	柴窝堡管委会	4
650109000000	米东区	3
650109001000	石化街道	4
650109002000	地磅街道	4
650109003000	卡子湾街道	4
650109004000	古牧地东路街道	4
650109005000	古牧地西路街道	4
650109006000	南路街道	4
650109007000	永祥街街道	4
650109008000	盛达东路街道	4
650109100000	古牧地镇	4
650109101000	铁厂沟镇	4
650109102000	长山子镇	4
650109103000	羊毛工镇	4
650109104000	三道坝镇	4
650109200000	柏杨河乡	4
650109201000	芦草沟乡	4
650121000000	乌鲁木齐县	3
650121001000	清水泉片区管委会街道	4
650121002000	谢家沟片区管委会街道	4
650121100000	水西沟镇	4
650121102000	板房沟镇	4
650121103000	永丰镇	4
650121207000	萨尔达坂乡	4
650121208000	甘沟乡	4
650121213000	托里乡	4
650200000000	克拉玛依市	2
650201000000	市辖区	3
650202000000	独山子区	3
650202001000	金山路街道	4
650202002000	西宁路街道	4
650202003000	新北区街道	4
650203000000	克拉玛依区	3
650203001000	天山路街道	4
650203002000	胜利路街道	4
650203003000	昆仑路街道	4
650203004000	银河路街道	4
650203005000	金龙镇街道	4
650203006000	五五新镇街道	4
650203007000	迎宾街道	4
650203008000	古海街道	4
650203200000	小拐乡	4
650203506000	兵团一二九团	4
650203530000	兵团一三六团	4
650204000000	白碱滩区	3
650204001000	中兴路街道	4
650204002000	三平路街道	4
650205000000	乌尔禾区	3
650205001000	柳树街街道	4
650205100000	乌尔禾镇	4
650205509000	兵团一三七团乡	4
650400000000	吐鲁番市	2
650402000000	高昌区	3
650402001000	老城路街道	4
650402002000	高昌路街道	4
650402003000	葡萄沟街道	4
650402004000	红柳河街道	4
650402100000	七泉湖镇	4
650402101000	大河沿镇	4
650402102000	亚尔镇	4
650402103000	艾丁湖镇	4
650402104000	葡萄镇	4
650402203000	恰特喀勒乡	4
650402204000	二堡乡	4
650402205000	三堡乡	4
650402206000	胜金乡	4
650402401000	原种场	4
650402502000	兵团二二一团	4
650421000000	鄯善县	3
650421100000	鄯善镇	4
650421101000	七克台镇	4
650421102000	火车站镇	4
650421103000	连木沁镇	4
650421104000	鲁克沁镇	4
650421105000	辟展镇	4
650421106000	迪坎镇	4
650421201000	东巴扎回族乡	4
650421202000	吐峪沟乡	4
650421203000	达朗坎乡	4
650421400000	南山矿区	4
650421500000	园艺场	4
650422000000	托克逊县	3
650422100000	托克逊镇	4
650422101000	库米什镇	4
650422102000	克尔碱镇	4
650422103000	阿乐惠镇	4
650422104000	伊拉湖镇	4
650422105000	夏镇	4
650422106000	博斯坦镇	4
650422201000	郭勒布依乡	4
650500000000	哈密市	2
650502000000	伊州区	3
650502001000	东河街道	4
650502002000	西河街道	4
650502003000	城北街道	4
650502004000	丽园街道	4
650502005000	石油新城街道	4
650502100000	雅满苏镇	4
650502101000	七角井镇	4
650502102000	星星峡镇	4
650502103000	二堡镇	4
650502104000	陶家宫镇	4
650502105000	五堡镇	4
650502106000	三道岭镇	4
650502200000	沁城乡	4
650502201000	乌拉台哈萨克民族乡	4
650502202000	双井子乡	4
650502203000	大泉湾乡	4
650502205000	回城乡	4
650502206000	花园乡	4
650502207000	南湖乡	4
650502209000	德外里都如克哈萨克乡	4
650502210000	西山乡	4
650502211000	天山乡	4
650502212000	白石头乡	4
650502214000	柳树沟乡	4
650502404000	现代农业园区管理委员会	4
650502406000	哈密工业园区	4
650502407000	东郊开发区管理委员会	4
650502500000	兵团红星一场	4
650502501000	兵团红星二场	4
650502502000	兵团红星四场	4
650502503000	兵团黄田农场	4
650502504000	兵团火箭农场	4
650502505000	兵团柳树泉农场	4
650521000000	巴里坤哈萨克自治县	3
650521100000	巴里坤镇	4
650521101000	博尔羌吉镇	4
650521102000	大河镇	4
650521103000	奎苏镇	4
650521104000	三塘湖镇	4
650521200000	萨尔乔克乡	4
650521201000	海子沿乡	4
650521202000	下涝坝乡	4
650521205000	石人子乡	4
650521206000	花园乡	4
650521208000	大红柳峡乡	4
650521209000	八墙子乡	4
650521400000	良种繁育场	4
650521401000	黄土场开发区	4
650521402000	巴里坤县山南开发区	4
650521500000	兵团红山农场	4
650522000000	伊吾县	3
650522100000	伊吾镇	4
650522101000	淖毛湖镇	4
650522102000	盐池镇	4
650522201000	苇子峡乡	4
650522202000	下马崖乡	4
650522204000	吐葫芦乡	4
650522205000	前山哈萨克民族乡	4
650522400000	伊吾县工业加工区	4
650522403000	伊吾县山南开发区管委会	4
650522500000	兵团淖毛湖农场	4
652300000000	昌吉回族自治州	2
652301000000	昌吉市	3
652301001000	宁边路街道	4
652301002000	延安北路街道	4
652301003000	北京南路街道	4
652301004000	建国路街道	4
652301005000	中山路街道	4
652301006000	绿洲路街道	4
652301100000	硫磺沟镇	4
652301101000	三工镇	4
652301102000	榆树沟镇	4
652301103000	二六工镇	4
652301104000	大西渠镇	4
652301105000	六工镇	4
652301106000	滨湖镇	4
652301107000	佃坝镇	4
652301202000	阿什里哈萨克民族乡	4
652301203000	庙尔沟乡	4
652301400000	新疆昌吉国家农业科技园区管理委员会	4
652301401000	昌吉市北部荒漠生态保护管理站	4
652301402000	昌吉国家高新技术产业开发区	4
652301503000	兵团共青团农场	4
652301504000	兵团军户农场	4
652302000000	阜康市	3
652302001000	博峰街道	4
652302002000	阜新街道	4
652302003000	准东街道	4
652302100000	甘河子镇	4
652302101000	城关镇	4
652302102000	九运街镇	4
652302103000	滋泥泉子镇	4
652302201000	上户沟哈萨克民族乡	4
652302202000	水磨沟乡	4
652302203000	三工河哈萨克民族乡	4
652302503000	兵团农六师土墩子农场	4
652302504000	兵团六运湖农场	4
652302505000	兵团二二二团农场	4
652323000000	呼图壁县	3
652323100000	呼图壁镇	4
652323101000	大丰镇	4
652323102000	雀尔沟镇	4
652323103000	二十里店镇	4
652323104000	园户村镇	4
652323105000	五工台镇	4
652323201000	石梯子哈萨克民族乡	4
652323402000	干河子林场	4
652323405000	呼图壁种牛场	4
652323520000	兵团一零五团	4
652323521000	兵团一零六团	4
652323523000	兵团芳草湖总场	4
652324000000	玛纳斯县	3
652324100000	玛纳斯镇	4
652324101000	乐土驿镇	4
652324102000	包家店镇	4
652324103000	凉州户镇	4
652324104000	北五岔镇	4
652324105000	六户地镇	4
652324106000	兰州湾镇	4
652324201000	广东地乡	4
652324202000	清水河子哈萨克民族乡	4
652324203000	塔西河乡	4
652324204000	旱卡子滩乡	4
652324400000	玛电工业区	4
652324401000	园艺场	4
652324402000	自治区林业厅玛纳斯平原林场	4
652324403000	新疆农科院玛纳斯试验站	4
652324520000	兵团农六师新湖农场	4
652324521000	兵团一四七团	4
652324522000	兵团一四八团	4
652324523000	兵团一四九团	4
652324524000	兵团一五零团	4
652325000000	奇台县	3
652325100000	奇台镇	4
652325101000	老奇台镇	4
652325102000	半截沟镇	4
652325103000	吉布库镇	4
652325104000	东湾镇	4
652325105000	西地镇	4
652325106000	碧流河镇	4
652325107000	三个庄子镇	4
652325108000	西北湾镇	4
652325202000	坎尔孜乡	4
652325203000	五马场乡	4
652325204000	古城乡	4
652325205000	乔仁乡	4
652325206000	七户乡	4
652325208000	塔塔尔乡	4
652325503000	兵团奇台农场	4
652325504000	兵团农六师北塔山牧场	4
652327000000	吉木萨尔县	3
652327100000	吉木萨尔镇	4
652327101000	三台镇	4
652327102000	泉子街镇	4
652327103000	北庭镇	4
652327104000	二工镇	4
652327105000	大有镇	4
652327202000	庆阳湖乡	4
652327203000	老台乡	4
652327205000	新地乡	4
652327400000	五彩湾工业园区	4
652327500000	兵团农六师红旗农场	4
652328000000	木垒哈萨克自治县	3
652328100000	木垒镇	4
652328101000	西吉尔镇	4
652328102000	东城镇	4
652328103000	新户镇	4
652328200000	英格堡乡	4
652328201000	照壁山乡	4
652328203000	雀仁乡	4
652328204000	白杨河乡	4
652328205000	大石头乡	4
652328206000	大南沟乌孜别克乡	4
652328207000	博斯坦乡	4
652700000000	博尔塔拉蒙古自治州	2
652701000000	博乐市	3
652701001000	青得里街道	4
652701002000	顾力木图街道	4
652701004000	南城区街道	4
652701005000	青达拉街道	4
652701006000	克尔根卓街道	4
652701100000	小营盘镇	4
652701101000	达勒特镇	4
652701102000	乌图布拉格镇	4
652701103000	青得里镇	4
652701201000	贝林哈日莫墩乡	4
652701400000	阿热勒托海牧场	4
652701408000	五台工业园区	4
652701501000	兵团八十一团	4
652701502000	兵团八十四团	4
652701504000	兵团八十六团	4
652701505000	兵团八十九团	4
652701506000	兵团九十团	4
652702000000	阿拉山口市	3
652702001000	阿拉套街道	4
652702100000	艾比湖镇	4
652722000000	精河县	3
652722100000	精河镇	4
652722101000	大河沿子镇	4
652722102000	托里镇	4
652722103000	托托镇	4
652722200000	茫丁乡	4
652722400000	阿合其农场	4
652722401000	八家户农场	4
652722402000	精河工业园区	4
652722503000	兵团八十三团	4
652722504000	兵团九十一团	4
652723000000	温泉县	3
652723100000	博格达尔镇	4
652723101000	哈日布呼镇	4
652723102000	安格里格镇	4
652723201000	查干屯格乡	4
652723202000	扎勒木特乡	4
652723203000	塔秀乡	4
652723400000	呼和托哈种畜场	4
652723401000	昆得仑牧场	4
652723502000	兵团八十七团	4
652723503000	兵团八十八团	4
652800000000	巴音郭楞蒙古自治州	2
652801000000	库尔勒市	3
652801001000	团结街道	4
652801002000	萨依巴格街道	4
652801003000	天山街道	4
652801004000	新城街道	4
652801005000	建设街道	4
652801006000	朝阳街道	4
652801007000	梨香街道	4
652801100000	塔什店镇	4
