360000  江西省	1
360100000000	南昌市	2
360101000000	市辖区	3
360102000000	东湖区	3
360102001000	公园街道	4
360102002000	滕王阁街道	4
360102003000	八一桥街道	4
360102004000	百花洲街道	4
360102005000	墩子塘街道	4
360102006000	大院街道	4
360102007000	豫章街道	4
360102008000	董家窑街道	4
360102009000	彭家桥街道	4
360102050000	沙井街道	4
360102100000	扬子洲镇	4
360102400000	贤士湖管理处	4
360102401000	扬农管理处	4
360102450000	凤凰洲管理处	4
360103000000	西湖区	3
360103001000	南浦街道	4
360103002000	朝阳洲街道	4
360103004000	广润门街道	4
360103005000	西湖街道	4
360103006000	系马桩街道	4
360103007000	绳金塔街道	4
360103009000	丁公路街道	4
360103010000	南站街道	4
360103011000	桃源街道	4
360103012000	十字街街道	4
360103013000	朝农街道	4
360103101000	桃花镇	4
360104000000	青云谱区	3
360104002000	洪都街道	4
360104006000	京山街道	4
360104007000	三家店街道	4
360104008000	岱山街道	4
360104009000	徐家坊街道	4
360104100000	青云谱镇	4
360104400000	南昌昌南工业园	4
360105000000	湾里区	3
360105001000	站前街道	4
360105002000	幸福街道	4
360105100000	招贤镇	4
360105101000	梅岭镇	4
360105102000	罗亭镇	4
360105103000	太平镇	4
360111000000	青山湖区	3
360111001000	青山路街道	4
360111003000	上海路街道	4
360111004000	南钢街道	4
360111005000	站东街道	4
360111100000	京东镇	4
360111103000	罗家镇	4
360111104000	湖坊镇	4
360111105000	塘山镇	4
360111180000	蛟桥镇	4
360111400000	江西青山湖高新技术产业园区	4
360111481000	白水湖管理处	4
360111482000	冠山管理处	4
360111490000	艾溪湖管理处	4
360112000000	新建区	3
360112100000	长堎镇	4
360112101000	望城镇	4
360112102000	生米镇	4
360112103000	西山镇	4
360112104000	石岗镇	4
360112105000	松湖镇	4
360112106000	樵舍镇	4
360112107000	乐化镇	4
360112108000	溪霞镇	4
360112109000	象山镇	4
360112110000	石埠镇	4
360112111000	联圩镇	4
360112112000	流湖镇	4
360112202000	厚田乡	4
360112204000	金桥乡	4
360112205000	铁河乡	4
360112206000	大塘坪乡	4
360112207000	昌邑乡	4
360112208000	南矶乡	4
360112400000	恒湖垦殖场	4
360112402000	成新实业有限公司	4
360112403000	朱港实业有限公司	4
360112404000	江西新建经济开发区	4
360112450000	红角洲管理处	4
360112451000	九龙湖管理处	4
360112460000	江西桑海集团有限公司	4
360112461000	新祺周管理处	4
360112502000	新丰管理处	4
360121000000	南昌县	3
360121001000	八月湖街道	4
360121100000	莲塘镇	4
360121101000	向塘镇	4
360121102000	三江镇	4
360121103000	塘南镇	4
360121104000	幽兰镇	4
360121105000	蒋巷镇	4
360121106000	武阳镇	4
360121107000	冈上镇	4
360121108000	广福镇	4
360121191000	昌东镇	4
360121192000	麻丘镇	4
360121200000	泾口乡	4
360121201000	南新乡	4
360121202000	塔城乡	4
360121203000	黄马乡	4
360121204000	富山乡	4
360121205000	东新乡	4
360121206000	八一乡	4
360121403000	小蓝经济开发区	4
360121404000	南昌航空城	4
360121471000	南昌县银三角管理委员会	4
360121501000	鲤鱼洲管理处	4
360121572000	江西省良种繁殖场	4
360123000000	安义县	3
360123100000	龙津镇	4
360123101000	万埠镇	4
360123102000	石鼻镇	4
360123103000	鼎湖镇	4
360123104000	长埠镇	4
360123105000	东阳镇	4
360123106000	黄洲镇	4
360123200000	乔乐乡	4
360123201000	长均乡	4
360123202000	新民乡	4
360123402000	江西安义工业园区	4
360123501000	国营万埠垦殖场	4
360124000000	进贤县	3
360124100000	民和镇	4
360124101000	李渡镇	4
360124102000	温圳镇	4
360124103000	文港镇	4
360124104000	梅庄镇	4
360124105000	张公镇	4
360124106000	罗溪镇	4
360124107000	架桥镇	4
360124108000	前坊镇	4
360124200000	三里乡	4
360124201000	二塘乡	4
360124202000	钟陵乡	4
360124203000	池溪乡	4
360124204000	南台乡	4
360124205000	三阳集乡	4
360124206000	七里乡	4
360124207000	下埠集乡	4
360124208000	衙前乡	4
360124209000	白圩乡	4
360124210000	长山晏乡	4
360124211000	泉岭乡	4
360124500000	五里垦殖场	4
360200000000	景德镇市	2
360201000000	市辖区	3
360202000000	昌江区	3
360202001000	西郊街道	4
360202002000	新枫街道	4
360202101000	鲇鱼山镇	4
360202102000	丽阳镇	4
360202202000	荷塘乡	4
360202290000	吕蒙乡	4
360202451000	昌江化工园区	4
360202452000	六零二所高科技园	4
360202453000	昌江开发区	4
360202500000	枫树山总场	4
360203000000	珠山区	3
360203001000	石狮埠街道	4
360203002000	新厂街道	4
360203003000	里村街道	4
360203004000	周路口街道	4
360203005000	昌江街道	4
360203006000	新村街道	4
360203007000	珠山街道	4
360203008000	太白园街道	4
360203009000	昌河街道	4
360203100000	竟成镇	4
360203400000	高新技术开发区	4
360222000000	浮梁县	3
360222100000	浮梁镇	4
360222101000	鹅湖镇	4
360222102000	经公桥镇	4
360222103000	蛟潭镇	4
360222104000	湘湖镇	4
360222105000	瑶里镇	4
360222106000	洪源镇	4
360222107000	寿安镇	4
360222108000	三龙镇	4
360222109000	峙滩镇	4
360222200000	王港乡	4
360222201000	庄湾乡	4
360222203000	黄坛乡	4
360222204000	兴田乡	4
360222205000	江村乡	4
360222207000	勒功乡	4
360222208000	西湖乡	4
360222209000	罗家桥乡	4
360222400000	浮梁工业园区	4
360222500000	罗家垦殖场	4
360281000000	乐平市	3
360281001000	洎阳街道	4
360281002000	塔山街道	4
360281100000	镇桥镇	4
360281101000	乐港镇	4
360281102000	涌山镇	4
360281103000	众埠镇	4
360281104000	接渡镇	4
360281105000	洪岩镇	4
360281106000	礼林镇	4
360281107000	后港镇	4
360281108000	塔前镇	4
360281109000	双田镇	4
360281110000	临港镇	4
360281111000	高家镇	4
360281112000	名口镇	4
360281113000	浯口镇	4
360281114000	十里岗镇	4
360281200000	鸬鹚乡	4
360281400000	农业高新园	4
360281401000	江西乐平工业园区	4
360300000000	萍乡市	2
360301000000	市辖区	3
360302000000	安源区	3
360302001000	东大街街道	4
360302002000	凤凰街街道	4
360302003000	八一街街道	4
360302004000	后埠街街道	4
360302005000	丹江街街道	4
360302006000	白源街街道	4
360302100000	安源镇	4
360302101000	高坑镇	4
360302102000	五陂镇	4
360302103000	青山镇	4
360302400000	五陂下垦殖场	4
360302401000	城郊管委会	4
360313000000	湘东区	3
360313001000	峡山口街道	4
360313101000	湘东镇	4
360313102000	荷尧镇	4
360313103000	老关镇	4
360313104000	腊市镇	4
360313105000	下埠镇	4
360313106000	排上镇	4
360313107000	东桥镇	4
360313108000	麻山镇	4
360313200000	广寒寨乡	4
360313201000	白竺乡	4
360321000000	莲花县	3
360321101000	琴亭镇	4
360321102000	路口镇	4
360321103000	良坊镇	4
360321104000	升坊镇	4
360321105000	坊楼镇	4
360321200000	闪石乡	4
360321201000	湖上乡	4
360321202000	三板桥乡	4
360321203000	神泉乡	4
360321204000	六市乡	4
360321205000	高洲乡	4
360321206000	荷塘乡	4
360321207000	南岭乡	4
360322000000	上栗县	3
360322101000	上栗镇	4
360322102000	桐木镇	4
360322103000	金山镇	4
360322104000	福田镇	4
360322105000	彭高镇	4
360322106000	赤山镇	4
360322200000	鸡冠山乡	4
360322201000	长平乡	4
360322202000	东源乡	4
360322203000	杨岐乡	4
360323000000	芦溪县	3
360323101000	芦溪镇	4
360323102000	宣风镇	4
360323103000	上埠镇	4
360323104000	南坑镇	4
360323105000	银河镇	4
360323200000	源南乡	4
360323201000	长丰乡	4
360323202000	张佳坊乡	4
360323203000	新泉乡	4
360323204000	万龙山乡	4
360400000000	九江市	2
360401000000	市辖区	3
360402000000	濂溪区	3
360402001000	十里街道	4
360402002000	五里街道	4
360402090000	七里湖街道	4
360402100000	姑塘镇	4
360402101000	威家镇	4
360402102000	新港镇	4
360402103000	莲花镇	4
360402105000	赛阳镇	4
360402200000	虞家河乡	4
360402201000	高垅乡	4
360402471000	庐山林科所	4
360402472000	庐山生态文化新城	4
360403000000	浔阳区	3
360403001000	甘棠街道	4
360403002000	湓浦街道	4
360403003000	人民路街道	4
360403004000	白水湖街道	4
360403005000	金鸡坡街道	4
360403091000	向阳街道	4
360403092000	滨兴街道	4
360403400000	茅山头企业集团	4
360404000000	柴桑区	3
360404001000	沙河街道	4
360404002000	狮子街道	4
360404003000	城门街道	4
360404101000	马回岭镇	4
360404102000	江洲镇	4
360404103000	城子镇	4
360404104000	港口街镇	4
360404105000	新合镇	4
360404200000	永安乡	4
360404201000	涌泉乡	4
360404202000	新塘乡	4
360404204000	岷山乡	4
360404403000	沙河经济技术开发区	4
360404501000	新洲垦殖场	4
360404502000	赛城湖水产场	4
360404503000	岷山林场	4
360423000000	武宁县	3
360423001000	豫宁街道	4
360423100000	新宁镇	4
360423101000	泉口镇	4
360423102000	鲁溪镇	4
360423103000	船滩镇	4
360423104000	澧溪镇	4
360423105000	罗坪镇	4
360423106000	石门楼镇	4
360423107000	宋溪镇	4
360423200000	大洞乡	4
360423201000	横路乡	4
360423202000	官莲乡	4
360423203000	巾口乡	4
360423204000	东林乡	4
360423205000	上汤乡	4
360423206000	甫田乡	4
360423207000	清江乡	4
360423208000	石渡乡	4
360423209000	杨洲乡	4
360423210000	罗溪乡	4
360423500000	万福经济技术开发区管委会	4
360424000000	修水县	3
360424100000	义宁镇	4
360424101000	白岭镇	4
360424102000	全丰镇	4
360424103000	古市镇	4
360424104000	大桥镇	4
360424105000	渣津镇	4
360424106000	马坳镇	4
360424107000	杭口镇	4
360424108000	港口镇	4
360424109000	溪口镇	4
360424110000	西港镇	4
360424111000	山口镇	4
360424112000	黄沙镇	4
360424113000	黄港镇	4
360424114000	何市镇	4
360424115000	上奉镇	4
360424116000	四都镇	4
360424117000	太阳升镇	4
360424118000	宁州镇	4
360424200000	路口乡	4
360424201000	黄龙乡	4
360424202000	上衫乡	4
360424203000	余段乡	4
360424204000	水源乡	4
360424205000	石坳乡	4
360424206000	东港乡	4
360424207000	上杭乡	4
360424209000	新湾乡	4
360424210000	布甲乡	4
360424211000	漫江乡	4
360424212000	复原乡	4
360424213000	竹坪乡	4
360424214000	征村乡	4
360424215000	庙岭乡	4
360424216000	黄坳乡	4
360424217000	大椿乡	4
360425000000	永修县	3
360425100000	涂埠镇	4
360425101000	吴城镇	4
360425102000	三溪桥镇	4
360425103000	虬津镇	4
360425104000	艾城镇	4
360425105000	滩溪镇	4
360425106000	白槎镇	4
360425107000	梅棠镇	4
360425108000	燕坊镇	4
360425109000	马口镇	4
360425110000	柘林镇	4
360425200000	三角乡	4
360425201000	九合乡	4
360425202000	立新乡	4
360425203000	江上乡	4
360425404000	江西永修云山经济技术开发区	4
360425500000	云山企业集团	4
360425501000	恒丰企业集团	4
360425502000	八角岭垦殖场	4
360425503000	永丰垦殖场	4
360426000000	德安县	3
360426100000	蒲亭镇	4
360426101000	聂桥镇	4
360426102000	车桥镇	4
360426103000	丰林镇	4
360426104000	吴山镇	4
360426200000	宝塔乡	4
360426201000	河东乡	4
360426202000	高塘乡	4
360426203000	林泉乡	4
360426205000	磨溪乡	4
360426206000	爱民乡	4
360426207000	邹桥乡	4
360426208000	塘山乡	4
360426500000	彭山林场	4
360426501000	园艺场	4
360428000000	都昌县	3
360428100000	都昌镇	4
360428101000	周溪镇	4
360428102000	三汊港镇	4
360428103000	中馆镇	4
360428104000	大沙镇	4
360428105000	万户镇	4
360428106000	南峰镇	4
360428107000	土塘镇	4
360428108000	大港镇	4
360428109000	蔡岭镇	4
360428110000	徐埠镇	4
360428111000	左里镇	4
360428200000	和合乡	4
360428201000	阳峰乡	4
360428202000	西源乡	4
360428203000	芗溪乡	4
360428204000	狮山乡	4
360428205000	鸣山乡	4
360428206000	春桥乡	4
360428207000	苏山乡	4
360428208000	多宝乡	4
360428209000	汪墩乡	4
360428210000	北山乡	4
360428211000	大树乡	4
360428400000	江西省对外经济技术合作蔡岭示范区	4
360428500000	都昌县良种场	4
360429000000	湖口县	3
