130000  河北省	1
130100000000	石家庄市	2
130101000000	市辖区	3
130102000000	长安区	3
130102001000	建北街道	4
130102002000	青园街道	4
130102003000	广安街道	4
130102004000	育才街道	4
130102005000	跃进街道	4
130102007000	河东街道	4
130102010000	长丰街道	4
130102011000	谈固街道	4
130102012000	中山东路街道	4
130102013000	阜康街道	4
130102014000	建安街道	4
130102015000	胜利北街道	4
130102100000	西兆通镇	4
130102101000	南村镇	4
130102102000	高营镇	4
130102103000	桃园镇	4
130104000000	桥西区	3
130104001000	东里街道	4
130104002000	中山街道	4
130104004000	南长街道	4
130104005000	维明街道	4
130104007000	友谊街道	4
130104008000	红旗街道	4
130104009000	新石街道	4
130104010000	苑东街道	4
130104011000	西里街道	4
130104012000	振头街道	4
130104013000	留营街道	4
130104014000	长兴街道	4
130104015000	彭后街道	4
130104016000	东风街道	4
130104017000	东华街道	4
130104018000	休门街道	4
130104019000	汇通街道	4
130105000000	新华区	3
130105001000	革新街街道	4
130105003000	新华路街道	4
130105004000	宁安街道	4
130105005000	东焦街道	4
130105006000	西苑街道	4
130105007000	合作路街道	4
130105008000	联盟街道	4
130105009000	石岗街道	4
130105011000	天苑街道	4
130105012000	北苑街道	4
130105013000	赵陵铺路街道	4
130105014000	西三庄街道	4
130105015000	大郭街道	4
130105016000	杜北街道	4
130105017000	赵佗路街道	4
130107000000	井陉矿区	3
130107001000	矿市街道	4
130107002000	四微街道	4
130107100000	贾庄镇	4
130107101000	凤山镇	4
130107200000	横涧乡	4
130108000000	裕华区	3
130108001000	裕兴街道	4
130108002000	裕强街道	4
130108003000	东苑街道	4
130108004000	建通街道	4
130108005000	槐底街道	4
130108006000	裕华路街道	4
130108007000	裕东街道	4
130108008000	裕翔街道	4
130108009000	建华南街道	4
130108101000	方村镇	4
130109000000	藁城区	3
130109100000	廉州镇	4
130109101000	兴安镇	4
130109102000	贾市庄镇	4
130109103000	南营镇	4
130109104000	梅花镇	4
130109105000	岗上镇	4
130109107000	南董镇	4
130109108000	张家庄镇	4
130109109000	南孟镇	4
130109110000	增村镇	4
130109111000	常安镇	4
130109112000	西关镇	4
130109200000	九门回族乡	4
130109500000	石家庄经济技术开发区	4
130110000000	鹿泉区	3
130110100000	获鹿镇	4
130110101000	铜冶镇	4
130110102000	寺家庄镇	4
130110103000	上庄镇	4
130110104000	李村镇	4
130110105000	宜安镇	4
130110106000	黄壁庄镇	4
130110107000	大河镇	4
130110108000	山尹村镇	4
130110200000	石井乡	4
130110201000	白鹿泉乡	4
130110202000	上寨乡	4
130110500000	河北鹿泉经济开发区	4
130111000000	栾城区	3
130111100000	栾城镇	4
130111103000	冶河镇	4
130111104000	窦妪镇	4
130111105000	楼底镇	4
130111200000	南高乡	4
130111201000	柳林屯乡	4
130111202000	西营乡	4
130121000000	井陉县	3
130121100000	微水镇	4
130121101000	上安镇	4
130121102000	天长镇	4
130121103000	秀林镇	4
130121104000	南峪镇	4
130121105000	威州镇	4
130121106000	小作镇	4
130121107000	南障城镇	4
130121108000	苍岩山镇	4
130121109000	测鱼镇	4
130121200000	吴家窑乡	4
130121201000	北正乡	4
130121202000	于家乡	4
130121203000	孙庄乡	4
130121204000	南陉乡	4
130121205000	辛庄乡	4
130121206000	南王庄乡	4
130123000000	正定县	3
130123001000	诸福屯街道	4
130123002000	三里屯街道	4
130123100000	正定镇	4
130123102000	新城铺镇	4
130123103000	新安镇	4
130123200000	南牛乡	4
130123201000	南楼乡	4
130123202000	西平乐乡	4
130123203000	北早现乡	4
130123204000	曲阳桥乡	4
130125000000	行唐县	3
130125100000	龙州镇	4
130125101000	南桥镇	4
130125102000	上碑镇	4
130125103000	口头镇	4
130125200000	独羊岗乡	4
130125201000	安香乡	4
130125202000	只里乡	4
130125203000	市同乡	4
130125204000	翟营乡	4
130125205000	城寨乡	4
130125206000	上方乡	4
130125207000	玉亭乡	4
130125208000	北河乡	4
130125209000	上闫庄乡	4
130125210000	九口子乡	4
130125400000	开发区	4
130126000000	灵寿县	3
130126100000	灵寿镇	4
130126101000	青同镇	4
130126102000	塔上镇	4
130126103000	陈庄镇	4
130126104000	慈峪镇	4
130126105000	岔头镇	4
130126200000	三圣院乡	4
130126201000	北洼乡	4
130126202000	牛城乡	4
130126203000	狗台乡	4
130126204000	南寨乡	4
130126205000	南燕川乡	4
130126206000	北谭庄乡	4
130126207000	寨头乡	4
130126208000	南营乡	4
130127000000	高邑县	3
130127100000	高邑镇	4
130127101000	大营镇	4
130127102000	富村镇	4
130127103000	万城镇	4
130127201000	中韩乡	4
130128000000	深泽县	3
130128100000	深泽镇	4
130128101000	铁杆镇	4
130128102000	赵八镇	4
130128200000	白庄乡	4
130128201000	留村乡	4
130128203000	桥头乡	4
130129000000	赞皇县	3
130129100000	赞皇镇	4
130129101000	院头镇	4
130129102000	南邢郭镇	4
130129103000	嶂石岩镇	4
130129200000	西龙门乡	4
130129202000	南清河乡	4
130129203000	西阳泽乡	4
130129204000	土门乡	4
130129205000	黄北坪乡	4
130129207000	许亭乡	4
130129208000	张楞乡	4
130130000000	无极县	3
130130100000	无极镇	4
130130101000	七汲镇	4
130130102000	张段固镇	4
130130103000	北苏镇	4
130130104000	郭庄镇	4
130130105000	大陈镇	4
130130200000	高头回族乡	4
130130201000	郝庄乡	4
130130202000	东侯坊乡	4
130130203000	里城道乡	4
130130204000	南流乡	4
130131000000	平山县	3
130131100000	平山镇	4
130131101000	东回舍镇	4
130131102000	温塘镇	4
130131103000	南甸镇	4
130131104000	岗南镇	4
130131105000	古月镇	4
130131106000	下槐镇	4
130131107000	孟家庄镇	4
130131108000	小觉镇	4
130131109000	蛟潭庄镇	4
130131110000	西柏坡镇	4
130131111000	下口镇	4
130131200000	西大吾乡	4
130131201000	上三汲乡	4
130131202000	两河乡	4
130131203000	东王坡乡	4
130131204000	苏家庄乡	4
130131205000	宅北乡	4
130131207000	北冶乡	4
130131209000	上观音堂乡	4
130131210000	杨家桥乡	4
130131211000	营里乡	4
130131212000	合河口乡	4
130132000000	元氏县	3
130132001000	城区街道	4
130132100000	槐阳镇	4
130132101000	殷村镇	4
130132102000	南佐镇	4
130132103000	宋曹镇	4
130132104000	南因镇	4
130132105000	姬村镇	4
130132106000	北褚镇	4
130132107000	马村镇	4
130132201000	东张乡	4
130132202000	赵同乡	4
130132204000	苏村乡	4
130132205000	苏阳乡	4
130132206000	北正乡	4
130132207000	前仙乡	4
130132208000	黑水河乡	4
130133000000	赵县	3
130133100000	赵州镇	4
130133101000	范庄镇	4
130133102000	北王里镇	4
130133103000	新寨店镇	4
130133104000	韩村镇	4
130133105000	南柏舍镇	4
130133106000	沙河店镇	4
130133200000	前大章乡	4
130133201000	谢庄乡	4
130133202000	高村乡	4
130133203000	王西章乡	4
130171000000	石家庄高新技术产业开发区	3
130171010000	长江街道	4
130171011000	太行街道	4
130171100000	宋营镇	4
130171101000	郄马镇	4
130172000000	石家庄循环化工园区	3
130172100000	丘头镇	4
130181000000	辛集市	3
130181100000	辛集镇	4
130181101000	旧城镇	4
130181102000	张古庄镇	4
130181103000	位伯镇	4
130181104000	新垒头镇	4
130181105000	新城镇	4
130181106000	南智邱镇	4
130181107000	王口镇	4
130181200000	天宫营乡	4
130181201000	前营乡	4
130181202000	马庄乡	4
130181203000	和睦井乡	4
130181204000	田家庄乡	4
130181205000	中里厢乡	4
130181206000	小辛庄乡	4
130181500000	辛集经济开发区	4
130183000000	晋州市	3
130183100000	晋州镇	4
130183101000	总十庄镇	4
130183102000	营里镇	4
130183103000	桃园镇	4
130183104000	东卓宿镇	4
130183105000	马于镇	4
130183106000	小樵镇	4
130183107000	槐树镇	4
130183108000	东里庄镇	4
130183201000	周家庄乡	4
130184000000	新乐市	3
130184001000	长寿街道	4
130184101000	化皮镇	4
130184102000	承安镇	4
130184103000	正莫镇	4
130184104000	南大岳镇	4
130184105000	杜固镇	4
130184106000	邯邰镇	4
130184107000	东王镇	4
130184108000	马头铺镇	4
130184200000	协神乡	4
130184201000	木村乡	4
130184202000	彭家庄回族乡	4
130200000000	唐山市	2
130201000000	市辖区	3
130202000000	路南区	3
130202001000	学院南路街道	4
130202002000	友谊街道	4
130202003000	广场街道	4
130202004000	永红桥街道	4
130202005000	小山街道	4
130202006000	文北街道	4
130202007000	钱营街道	4
130202008000	惠民道街道	4
130202009000	梁家屯路街道	4
130202102000	稻地镇	4
130202200000	女织寨乡	4
130203000000	路北区	3
130203001000	乔屯街道	4
130203002000	文化路街道	4
130203003000	钓鱼台街道	4
130203004000	东新村街道	4
130203005000	缸窑街道	4
130203006000	机场路街道	4
130203007000	河北路街道	4
130203008000	龙东街道	4
130203009000	大里街道	4
130203010000	光明街道	4
130203011000	翔云道街道	4
130203100000	韩城镇	4
130203200000	果园乡	4
130204000000	古冶区	3
130204001000	林西街道	4
130204002000	唐家庄街道	4
130204003000	古冶街道	4
130204004000	赵各庄街道	4
130204007000	京华街道	4
130204100000	范各庄镇	4
130204101000	卑家店镇	4
130204201000	王辇庄乡	4
130204202000	习家套乡	4
130204203000	大庄坨乡	4
130205000000	开平区	3
130205001000	马家沟街道	4
130205002000	开平街道	4
130205003000	税务庄街道	4
130205005000	陡电街道	4
130205006000	荆各庄街道	4
130205100000	开平镇	4
130205101000	栗园镇	4
130205102000	郑庄子镇	4
130205103000	双桥镇	4
130205104000	洼里镇	4
130205105000	越河镇	4
130207000000	丰南区	3
130207103000	小集镇	4
130207104000	黄各庄镇	4
130207105000	西葛镇	4
130207106000	大新庄镇	4
130207107000	钱营镇	4
130207108000	唐坊镇	4
130207109000	王兰庄镇	4
130207110000	柳树酄镇	4
130207111000	黑沿子镇	4
130207113000	丰南镇	4
130207114000	大齐各庄镇	4
130207115000	岔河镇	4
130207201000	南孙庄乡	4
130207202000	东田庄乡	4
130207203000	尖字沽乡	4
130208000000	丰润区	3
130208001000	太平路街道	4
130208002000	燕山路街道	4
130208003000	浭阳街道	4
130208100000	丰润镇	4
130208102000	任各庄镇	4
130208103000	左家坞镇	4
130208104000	泉河头镇	4
130208105000	王官营镇	4
130208106000	火石营镇	4
130208109000	新军屯镇	4
130208110000	小张各庄镇	4
130208111000	丰登坞镇	4
130208112000	李钊庄镇	4
130208113000	白官屯镇	4
130208114000	石各庄镇	4
130208115000	沙流河镇	4
130208116000	七树庄镇	4
130208117000	杨官林镇	4
130208118000	银城铺镇	4
130208119000	常庄镇	4
130208202000	姜家营乡	4
130208205000	欢喜庄乡	4
130208208000	刘家营乡	4
130209000000	曹妃甸区	3
130209100000	唐海镇	4
130209112000	滨海镇	4
130209113000	柳赞镇	4
130209401000	一农场	4
130209403000	三农场	4
130209404000	四农场	4
130209405000	五农场	4
130209406000	六农场	4
130209407000	七农场	4
130209408000	八农场	4
130209409000	九农场	4
130209410000	十农场	4
130209411000	十一农场	4
130209412000	八里滩养殖场	4
130209413000	十里海养殖场	4
130209450000	南堡经济开发区	4
130209451000	曹妃甸工业区	4
130209452000	曹妃甸新城	4
130224000000	滦南县	3
130224001000	友谊路街道	4
130224100000	倴城镇	4
130224101000	宋道口镇	4
130224102000	长凝镇	4
130224103000	胡各庄镇	4
130224104000	坨里镇	4
130224105000	姚王庄镇	4
130224106000	司各庄镇	4
130224107000	安各庄镇	4
130224108000	扒齿港镇	4
130224109000	程庄镇	4
130224110000	青坨营镇	4
130224111000	柏各庄镇	4
130224114000	南堡镇	4
130224115000	方各庄镇	4
