410000  河南省	1
410100000000	郑州市	2
410101000000	市辖区	3
410102000000	中原区	3
410102001000	林山寨街道	4
410102002000	建设路街道	4
410102003000	棉纺路街道	4
410102004000	秦岭路街道	4
410102005000	桐柏路街道	4
410102006000	三官庙街道	4
410102007000	绿东村街道	4
410102008000	汝河路街道	4
410102009000	航海西路街道	4
410102010000	中原西路街道	4
410102011000	西流湖街道	4
410102012000	须水街道	4
410102013000	莲湖街道	4
410102014000	柳湖街道	4
410103000000	二七区	3
410103001000	淮河路街道	4
410103002000	解放路街道	4
410103003000	铭功路街道	4
410103004000	一马路街道	4
410103005000	蜜蜂张街道	4
410103006000	五里堡街道	4
410103007000	大学路街道	4
410103008000	建中街街道	4
410103009000	福华街街道	4
410103010000	德化街街道	4
410103011000	嵩山路街道	4
410103012000	京广路街道	4
410103013000	长江路街道	4
410103015000	人和路街道	4
410103016000	侯寨街道	4
410103100000	马寨镇	4
410104000000	管城回族区	3
410104001000	北下街街道	4
410104002000	西大街街道	4
410104003000	南关街道	4
410104004000	城东路街道	4
410104005000	东大街街道	4
410104006000	二里岗街道	4
410104007000	陇海马路街道	4
410104008000	紫荆山南路街道	4
410104009000	航海东路街道	4
410104010000	十八里河街道	4
410104201000	南曹乡	4
410104202000	圃田乡	4
410104570000	商都路街道	4
410105000000	金水区	3
410105001000	经八路街道	4
410105002000	花园路街道	4
410105003000	人民路街道	4
410105004000	杜岭街道	4
410105005000	大石桥街道	4
410105006000	南阳路街道	4
410105007000	南阳新村街道	4
410105008000	文化路街道	4
410105009000	丰产路街道	4
410105010000	东风路街道	4
410105011000	北林路街道	4
410105012000	未来路街道	4
410105013000	凤凰台街道	4
410105014000	龙子湖街道	4
410105015000	祭城路街道	4
410105016000	兴达路街道	4
410105017000	国基路街道	4
410105018000	杨金路街道	4
410105019000	丰庆路街道	4
410105560000	如意湖街道	4
410105561000	博学路街道	4
410105562000	龙湖街道	4
410105563000	龙源路街道	4
410105564000	金光路街道	4
410106000000	上街区	3
410106001000	济源路街道	4
410106002000	中心路街道	4
410106003000	新安路街道	4
410106004000	工业路街道	4
410106005000	矿山街道	4
410106100000	峡窝镇	4
410108000000	惠济区	3
410108001000	新城街道	4
410108002000	刘寨街道	4
410108003000	江山路街道	4
410108004000	长兴路街道	4
410108005000	迎宾路街道	4
410108006000	大河路街道	4
410108100000	花园口镇	4
410108101000	古荥镇	4
410122000000	中牟县	3
410122001000	青年路街道	4
410122002000	东风路街道	4
410122003000	广惠街街道	4
410122101000	韩寺镇	4
410122102000	官渡镇	4
410122103000	狼城岗镇	4
410122104000	万滩镇	4
410122105000	白沙镇	4
410122106000	郑庵镇	4
410122109000	黄店镇	4
410122110000	大孟镇	4
410122112000	刘集镇	4
410122114000	雁鸣湖镇	4
410122115000	姚家镇	4
410122208000	刁家乡	4
410122570000	杨桥街道	4
410122571000	豫兴街道	4
410171000000	郑州经济技术开发区	3
410171111000	九龙镇	4
410171560000	郑州经济技术开发区明湖街道	4
410171561000	郑州经济技术开发区潮河街道	4
410171562000	郑州经济技术开发区京航街道	4
410171563000	郑州经济技术开发区前程街道	4
410171565000	郑州经济技术开发区祥云街道	4
410172000000	郑州高新技术产业开发区	3
410172160000	石佛镇	4
410172360000	沟赵乡	4
410172560000	枫杨街道	4
410172561000	梧桐街道	4
410172562000	双桥街道	4
410173000000	郑州航空港经济综合实验区	3
410173108000	张庄镇	4
410173113000	八岗镇	4
410173116000	三官庙镇	4
410173202000	八千乡	4
410173203000	龙王乡	4
410173400000	新港街道	4
410173401000	郑港街道	4
410173404000	银河街道	4
410173405000	明港街道	4
410173580000	滨河街道	4
410173581000	冯堂街道	4
410173582000	清河街道	4
410173583000	龙港街道	4
410181000000	巩义市	3
410181001000	新华路街道	4
410181002000	杜甫路街道	4
410181003000	永安路街道	4
410181004000	孝义街道	4
410181005000	紫荆路街道	4
410181100000	米河镇	4
410181101000	新中镇	4
410181102000	小关镇	4
410181103000	竹林镇	4
410181104000	大峪沟镇	4
410181105000	河洛镇	4
410181106000	站街镇	4
410181108000	康店镇	4
410181110000	北山口镇	4
410181111000	西村镇	4
410181112000	芝田镇	4
410181113000	回郭镇	4
410181114000	鲁庄镇	4
410181115000	夹津口镇	4
410181116000	涉村镇	4
410182000000	荥阳市	3
410182001000	索河街道	4
410182002000	京城路街道	4
410182101000	乔楼镇	4
410182102000	豫龙镇	4
410182103000	广武镇	4
410182104000	王村镇	4
410182105000	汜水镇	4
410182106000	高山镇	4
410182108000	刘河镇	4
410182109000	崔庙镇	4
410182110000	贾峪镇	4
410182200000	城关乡	4
410182201000	高村乡	4
410182204000	金寨回族乡	4
410183000000	新密市	3
410183001000	青屏街街道	4
410183002000	新华路街道	4
410183003000	西大街街道	4
410183100000	城关镇	4
410183101000	米村镇	4
410183102000	牛店镇	4
410183103000	平陌镇	4
410183104000	超化镇	4
410183105000	苟堂镇	4
410183106000	大隗镇	4
410183107000	刘寨镇	4
410183108000	白寨镇	4
410183109000	岳村镇	4
410183110000	来集镇	4
410183113000	曲梁镇	4
410183200000	袁庄乡	4
410183400000	矿区街道	4
410183401000	尖山风景区管理委员会	4
410183402000	郑州曲梁产业集聚区管理委员会	4
410184000000	新郑市	3
410184001000	新建路街道	4
410184002000	新华路街道	4
410184003000	新烟街道	4
410184101000	新村镇	4
410184102000	辛店镇	4
410184103000	观音寺镇	4
410184104000	梨河镇	4
410184105000	和庄镇	4
410184106000	薛店镇	4
410184107000	孟庄镇	4
410184108000	郭店镇	4
410184109000	龙湖镇	4
410184200000	城关乡	4
410184402000	具茨山国家级森林公园管理委员会	4
410184403000	新郑新区管理委员会	4
410185000000	登封市	3
410185001000	嵩阳街道	4
410185002000	少林街道	4
410185003000	中岳街道	4
410185100000	大金店镇	4
410185101000	颍阳镇	4
410185102000	卢店镇	4
410185103000	告成镇	4
410185104000	阳城区镇	4
410185105000	大冶镇	4
410185106000	宣化镇	4
410185107000	徐庄镇	4
410185108000	东华镇	4
410185109000	唐庄镇	4
410185202000	白坪乡	4
410185203000	君召乡	4
410185204000	石道乡	4
410185400000	送表矿区	4
410200000000	开封市	2
410201000000	市辖区	3
410202000000	龙亭区	3
410202001000	北书店街道	4
410202002000	午朝门街道	4
410202003000	大兴街道	4
410202005000	北道门街道	4
410202006000	城西街道	4
410202007000	梁苑街道	4
410202008000	宋城街道	4
410202009000	新城街道	4
410202100000	杏花营镇	4
410202201000	北郊乡	4
410202202000	柳园口乡	4
410202203000	西郊乡	4
410202204000	水稻乡	4
410202400000	杏花营农场	4
410203000000	顺河回族区	3
410203001000	清平街道	4
410203002000	铁塔街道	4
410203003000	曹门街道	4
410203004000	宋门街道	4
410203005000	工业街道	4
410203006000	苹果园街道	4
410203200000	东郊乡	4
410203201000	土柏岗乡	4
410204000000	鼓楼区	3
410204001000	相国寺街道	4
410204002000	新华街道	4
410204003000	卧龙街道	4
410204004000	州桥街道	4
410204005000	西司门街道	4
410204006000	南苑街道	4
410204007000	五一街道	4
410204008000	仙人庄街道	4
410205000000	禹王台区	3
410205001000	三里堡街道	4
410205002000	新门关街道	4
410205003000	繁塔街道	4
410205004000	官坊街道	4
410205005000	菜市街道	4
410205200000	南郊乡	4
410205201000	汪屯乡	4
410212000000	祥符区	3
410212100000	城关镇	4
410212101000	陈留镇	4
410212102000	仇楼镇	4
410212103000	八里湾镇	4
410212104000	曲兴镇	4
410212106000	朱仙镇	4
410212107000	罗王镇	4
410212200000	半坡店乡	4
410212203000	刘店乡	4
410212204000	袁坊乡	4
410212205000	杜良乡	4
410212206000	兴隆乡	4
410212208000	西姜寨乡	4
410212210000	万隆乡	4
410212211000	范村乡	4
410221000000	杞县	3
410221001000	金城街道	4
410221101000	五里河镇	4
410221102000	傅集镇	4
410221103000	圉镇镇	4
410221104000	高阳镇	4
410221105000	葛岗镇	4
410221106000	阳堌镇	4
410221107000	邢口镇	4
410221200000	裴村店乡	4
410221202000	宗店乡	4
410221203000	板木乡	4
410221204000	竹林乡	4
410221205000	官庄乡	4
410221206000	湖岗乡	4
410221207000	苏木乡	4
410221208000	沙沃乡	4
410221209000	平城乡	4
410221210000	泥沟乡	4
410221211000	柿园乡	4
410221212000	西寨乡	4
410221213000	城郊乡	4
410221401000	工业园区	4
410222000000	通许县	3
