330000  浙江省	1
330100000000	杭州市	2
330101000000	市辖区	3
330102000000	上城区	3
330102001000	清波街道	4
330102003000	湖滨街道	4
330102004000	小营街道	4
330102008000	南星街道	4
330102009000	紫阳街道	4
330102010000	望江街道	4
330103000000	下城区	3
330103001000	长庆街道	4
330103002000	武林街道	4
330103003000	天水街道	4
330103005000	潮鸣街道	4
330103006000	朝晖街道	4
330103007000	文晖街道	4
330103008000	东新街道	4
330103009000	石桥街道	4
330104000000	江干区	3
330104005000	凯旋街道	4
330104006000	采荷街道	4
330104007000	闸弄口街道	4
330104008000	四季青街道	4
330104009000	白杨街道	4
330104010000	下沙街道	4
330104011000	彭埠街道	4
330104012000	笕桥街道	4
330104013000	丁兰街道	4
330104014000	九堡街道	4
330105000000	拱墅区	3
330105001000	米市巷街道	4
330105002000	湖墅街道	4
330105003000	小河街道	4
330105004000	和睦街道	4
330105005000	拱宸桥街道	4
330105007000	大关街道	4
330105008000	上塘街道	4
330105009000	祥符街道	4
330105010000	康桥街道	4
330105011000	半山街道	4
330106000000	西湖区	3
330106002000	北山街道	4
330106004000	西溪街道	4
330106005000	翠苑街道	4
330106007000	古荡街道	4
330106008000	西湖街道	4
330106009000	留下街道	4
330106010000	转塘街道	4
330106011000	蒋村街道	4
330106012000	灵隐街道	4
330106013000	文新街道	4
330106109000	三墩镇	4
330106110000	双浦镇	4
330108000000	滨江区	3
330108001000	西兴街道	4
330108002000	长河街道	4
330108003000	浦沿街道	4
330109000000	萧山区	3
330109001000	城厢街道	4
330109002000	北干街道	4
330109003000	蜀山街道	4
330109004000	新塘街道	4
330109005000	靖江街道	4
330109006000	南阳街道	4
330109007000	义蓬街道	4
330109008000	河庄街道	4
330109009000	新湾街道	4
330109010000	临江街道	4
330109011000	前进街道	4
330109012000	闻堰街道	4
330109013000	宁围街道	4
330109014000	新街街道	4
330109100000	楼塔镇	4
330109101000	河上镇	4
330109102000	戴村镇	4
330109103000	浦阳镇	4
330109104000	进化镇	4
330109105000	临浦镇	4
330109106000	义桥镇	4
330109107000	所前镇	4
330109108000	衙前镇	4
330109113000	瓜沥镇	4
330109115000	益农镇	4
330109120000	党湾镇	4
330109401000	萧山经济技术开发区	4
330109403000	萧山商业城	4
330109501000	围垦区	4
330109503000	红山农场	4
330109505000	萧山钱江世纪城	4
330110000000	余杭区	3
330110001000	临平街道	4
330110002000	南苑街道	4
330110003000	东湖街道	4
330110004000	星桥街道	4
330110005000	五常街道	4
330110006000	乔司街道	4
330110007000	运河街道	4
330110008000	崇贤街道	4
330110009000	仁和街道	4
330110010000	良渚街道	4
330110011000	闲林街道	4
330110012000	仓前街道	4
330110013000	余杭街道	4
330110014000	中泰街道	4
330110102000	塘栖镇	4
330110109000	径山镇	4
330110110000	瓶窑镇	4
330110111000	鸬鸟镇	4
330110112000	百丈镇	4
330110113000	黄湖镇	4
330111000000	富阳区	3
330111001000	富春街道	4
330111002000	春江街道	4
330111004000	鹿山街道	4
330111005000	东洲街道	4
330111006000	银湖街道	4
330111100000	万市镇	4
330111101000	洞桥镇	4
330111103000	渌渚镇	4
330111105000	永昌镇	4
330111108000	里山镇	4
330111109000	常绿镇	4
330111110000	场口镇	4
330111111000	常安镇	4
330111112000	龙门镇	4
330111115000	新登镇	4
330111116000	胥口镇	4
330111117000	大源镇	4
330111118000	灵桥镇	4
330111200000	新桐乡	4
330111201000	上官乡	4
330111204000	环山乡	4
330111205000	湖源乡	4
330111206000	春建乡	4
330111207000	渔山乡	4
330112000000	临安区	3
330112002000	玲珑街道	4
330112005000	锦南街道	4
330112006000	锦城街道	4
330112007000	锦北街道	4
330112008000	青山湖街道	4
330112102000	高虹镇	4
330112103000	太湖源镇	4
330112104000	於潜镇	4
330112106000	太阳镇	4
330112107000	潜川镇	4
330112108000	昌化镇	4
330112109000	河桥镇	4
330112111000	湍口镇	4
330112112000	清凉峰镇	4
330112113000	岛石镇	4
330112115000	板桥镇	4
330112116000	天目山镇	4
330112117000	龙岗镇	4
330122000000	桐庐县	3
330122002000	旧县街道	4
330122003000	桐君街道	4
330122004000	城南街道	4
330122005000	凤川街道	4
330122101000	富春江镇	4
330122102000	横村镇	4
330122109000	分水镇	4
330122110000	瑶琳镇	4
330122112000	百江镇	4
330122113000	江南镇	4
330122201000	莪山畲族乡	4
330122202000	钟山乡	4
330122204000	新合乡	4
330122210000	合村乡	4
330127000000	淳安县	3
330127100000	千岛湖镇	4
330127101000	文昌镇	4
330127102000	石林镇	4
330127103000	临岐镇	4
330127104000	威坪镇	4
330127106000	姜家镇	4
330127107000	梓桐镇	4
330127108000	汾口镇	4
330127109000	中洲镇	4
330127110000	大墅镇	4
330127111000	枫树岭镇	4
330127200000	里商乡	4
330127201000	金峰乡	4
330127202000	富文乡	4
330127203000	左口乡	4
330127205000	屏门乡	4
330127206000	瑶山乡	4
330127208000	王阜乡	4
330127210000	宋村乡	4
330127211000	鸠坑乡	4
330127212000	浪川乡	4
330127214000	界首乡	4
330127216000	安阳乡	4
330182000000	建德市	3
330182001000	新安江街道	4
330182002000	洋溪街道	4
330182003000	更楼街道	4
330182101000	莲花镇	4
330182102000	乾潭镇	4
330182104000	梅城镇	4
330182105000	杨村桥镇	4
330182106000	下涯镇	4
330182107000	大洋镇	4
330182108000	三都镇	4
330182109000	寿昌镇	4
330182110000	航头镇	4
330182111000	大慈岩镇	4
330182112000	大同镇	4
330182113000	李家镇	4
330182202000	钦堂乡	4
330200000000	宁波市	2
330201000000	市辖区	3
330203000000	海曙区	3
330203001000	南门街道	4
330203002000	江厦街道	4
330203003000	西门街道	4
330203004000	月湖街道	4
330203005000	鼓楼街道	4
330203006000	白云街道	4
330203007000	段塘街道	4
330203008000	望春街道	4
330203009000	石碶街道	4
330203100000	高桥镇	4
330203101000	横街镇	4
330203102000	集士港镇	4
330203103000	古林镇	4
330203104000	洞桥镇	4
330203105000	鄞江镇	4
330203106000	章水镇	4
330203200000	龙观乡	4
330205000000	江北区	3
330205001000	中马街道	4
330205002000	白沙街道	4
330205003000	孔浦街道	4
330205004000	文教街道	4
330205005000	甬江街道	4
330205006000	庄桥街道	4
330205007000	洪塘街道	4
330205103000	慈城镇	4
330206000000	北仑区	3
330206001000	大榭街道	4
330206002000	新碶街道	4
330206003000	小港街道	4
330206004000	大碶街道	4
330206005000	霞浦街道	4
330206006000	柴桥街道	4
330206007000	戚家山街道	4
330206008000	春晓街道	4
330206009000	梅山街道	4
330206010000	郭巨街道	4
330206011000	白峰街道	4
330206401000	保税区	4
330211000000	镇海区	3
330211001000	招宝山街道	4
330211002000	蛟川街道	4
330211003000	骆驼街道	4
330211004000	庄市街道	4
330211005000	贵驷街道	4
330211100000	澥浦镇	4
330211101000	九龙湖镇	4
330212000000	鄞州区	3
330212001000	下应街道	4
330212002000	钟公庙街道	4
330212004000	梅墟街道	4
330212005000	中河街道	4
330212006000	首南街道	4
330212007000	潘火街道	4
330212008000	百丈街道	4
330212009000	东胜街道	4
330212010000	明楼街道	4
330212011000	白鹤街道	4
330212012000	东柳街道	4
330212013000	东郊街道	4
330212014000	福明街道	4
330212015000	新明街道	4
330212016000	聚贤街道	4
330212100000	瞻岐镇	4
330212101000	咸祥镇	4
330212102000	塘溪镇	4
330212103000	东钱湖镇	4
330212104000	东吴镇	4
330212105000	五乡镇	4
330212106000	邱隘镇	4
330212108000	云龙镇	4
330212109000	横溪镇	4
330212110000	姜山镇	4
330213000000	奉化区	3
330213001000	锦屏街道	4
330213002000	岳林街道	4
330213003000	江口街道	4
330213004000	西坞街道	4
330213005000	萧王庙街道	4
330213006000	方桥街道	4
330213007000	尚田街道	4
330213008000	莼湖街道	4
330213100000	溪口镇	4
330213106000	裘村镇	4
330213107000	大堰镇	4
330213108000	松岙镇	4
330225000000	象山县	3
330225001000	丹东街道	4
330225002000	丹西街道	4
330225003000	爵溪街道	4
330225101000	石浦镇	4
330225102000	西周镇	4
330225103000	鹤浦镇	4
330225104000	贤庠镇	4
330225105000	墙头镇	4
330225106000	泗洲头镇	4
330225107000	定塘镇	4
330225108000	涂茨镇	4
330225109000	大徐镇	4
330225110000	新桥镇	4
330225200000	东陈乡	4
330225201000	晓塘乡	4
330225202000	黄避岙乡	4
330225203000	茅洋乡	4
330225204000	高塘岛乡	4
330226000000	宁海县	3
330226001000	跃龙街道	4
330226002000	桃源街道	4
330226003000	梅林街道	4
330226004000	桥头胡街道	4
330226101000	长街镇	4
330226102000	力洋镇	4
330226104000	一市镇	4
330226105000	岔路镇	4
330226106000	前童镇	4
330226107000	桑洲镇	4
330226108000	黄坛镇	4
330226109000	大佳何镇	4
330226110000	强蛟镇	4
330226111000	西店镇	4
330226112000	深甽镇	4
330226200000	胡陈乡	4
330226201000	茶院乡	4
330226202000	越溪乡	4
330281000000	余姚市	3
330281001000	梨洲街道	4
330281002000	凤山街道	4
330281003000	兰江街道	4
330281004000	阳明街道	4
330281005000	低塘街道	4
330281006000	朗霞街道	4
330281100000	临山镇	4
330281101000	黄家埠镇	4
330281102000	小曹娥镇	4
330281103000	泗门镇	4
330281106000	马渚镇	4
330281108000	牟山镇	4
330281109000	丈亭镇	4
330281110000	三七市镇	4
330281111000	河姆渡镇	4
330281112000	大隐镇	4
330281113000	陆埠镇	4
330281114000	梁弄镇	4
330281115000	大岚镇	4
330281116000	四明山镇	4
330281201000	鹿亭乡	4
330282000000	慈溪市	3
330282002000	宗汉街道	4
330282003000	坎墩街道	4
330282004000	浒山街道	4
330282005000	白沙路街道	4
330282006000	古塘街道	4
330282104000	掌起镇	4
330282107000	观海卫镇	4
330282108000	附海镇	4
330282109000	桥头镇	4
330282110000	匡堰镇	4
330282111000	逍林镇	4
330282112000	新浦镇	4
330282113000	胜山镇	4
330282114000	横河镇	4
330282116000	崇寿镇	4
330282118000	庵东镇	4
330282120000	长河镇	4
330282121000	周巷镇	4
330282123000	龙山镇	4
330282400000	慈溪市农垦场	4
330282401000	慈溪市林场	4
330282402000	慈东工业区	4
330300000000	温州市	2
330301000000	市辖区	3
330302000000	鹿城区	3
330302006000	五马街道	4
330302023000	七都街道	4
330302024000	滨江街道	4
330302025000	南汇街道	4
330302026000	松台街道	4
330302027000	双屿街道	4
330302028000	仰义街道	4
330302029000	大南街道	4
330302030000	蒲鞋市街道	4
330302031000	南郊街道	4
330302032000	广化街道	4
330302033000	丰门街道	4
330302102000	藤桥镇	4
330302105000	山福镇	4
330303000000	龙湾区	3
330303001000	永中街道	4
330303002000	蒲州街道	4
330303003000	海滨街道	4
330303004000	永兴街道	4
330303006000	状元街道	4
330303007000	瑶溪街道	4
330304000000	瓯海区	3
330304001000	景山街道	4
330304002000	梧田街道	4
330304003000	南白象街道	4
330304004000	茶山街道	4
330304005000	娄桥街道	4
330304006000	新桥街道	4
330304007000	三垟街道	4
330304008000	瞿溪街道	4
330304009000	郭溪街道	4
330304010000	潘桥街道	4
330304011000	丽岙街道	4
330304012000	仙岩街道	4
330304108000	泽雅镇	4
330305000000	洞头区	3
330305001000	北岙街道	4
330305002000	灵昆街道	4
330305003000	东屏街道	4
330305004000	元觉街道	4
330305005000	霓屿街道	4
330305101000	大门镇	4
330305202000	鹿西乡	4
330324000000	永嘉县	3
330324001000	东城街道	4
330324002000	北城街道	4
330324003000	南城街道	4
330324006000	三江街道	4
330324007000	黄田街道	4
330324008000	乌牛街道	4
330324009000	瓯北街道	4
330324102000	桥头镇	4
330324104000	桥下镇	4
330324105000	大若岩镇	4
330324106000	碧莲镇	4
330324107000	巽宅镇	4
330324108000	岩头镇	4
330324109000	枫林镇	4
330324110000	岩坦镇	4
330324111000	沙头镇	4
330324112000	鹤盛镇	4
330324113000	金溪镇	4
330324226000	云岭乡	4
330324227000	茗岙乡	4
330324228000	溪下乡	4
330324229000	界坑乡	4
330324400000	县特产场场区	4
330324401000	四海山林场	4
330324402000	正江山林场	4
330326000000	平阳县	3
330326100000	昆阳镇	4
330326101000	鳌江镇	4
330326102000	水头镇	4
330326103000	萧江镇	4
330326105000	腾蛟镇	4
330326107000	山门镇	4
330326108000	顺溪镇	4
330326109000	南雁镇	4
330326117000	万全镇	4
330326118000	海西镇	4
330326119000	南麂镇	4
330326120000	麻步镇	4
330326121000	凤卧镇	4
330326122000	怀溪镇	4
330326214000	青街畲族乡	4
330326217000	闹村乡	4
330326401000	滨海新区	4
330327000000	苍南县	3
330327100000	灵溪镇	4
330327103000	宜山镇	4
330327104000	钱库镇	4
330327107000	金乡镇	4
330327112000	藻溪镇	4
330327113000	桥墩镇	4
330327116000	矾山镇	4
330327117000	赤溪镇	4
330327118000	马站镇	4
330327122000	望里镇	4
330327123000	炎亭镇	4
330327124000	大渔镇	4
330327125000	莒溪镇	4
330327126000	南宋镇	4
330327127000	霞关镇	4
330327128000	沿浦镇	4
330327216000	凤阳畲族乡	4
330327218000	岱岭畲族乡	4
330328000000	文成县	3
330328100000	大峃镇	4
330328101000	百丈漈镇	4
330328102000	南田镇	4
330328103000	西坑畲族镇	4
330328104000	黄坦镇	4
330328105000	珊溪镇	4
330328106000	巨屿镇	4
330328107000	玉壶镇	4
330328108000	峃口镇	4
330328109000	周壤镇	4
330328110000	铜铃山镇	4
330328111000	二源镇	4
330328217000	周山畲族乡	4
330328225000	桂山乡	4
330328226000	双桂乡	4
330328227000	平和乡	4
330328228000	公阳乡	4
330329000000	泰顺县	3
330329100000	罗阳镇	4
330329101000	司前畲族镇	4
330329102000	百丈镇	4
330329103000	筱村镇	4
330329104000	泗溪镇	4
330329105000	彭溪镇	4
330329106000	雅阳镇	4
330329107000	仕阳镇	4
330329109000	三魁镇	4
330329111000	南浦溪镇	4
330329112000	龟湖镇	4
330329113000	西旸镇	4
330329204000	竹里畲族乡	4
330329225000	包垟乡	4
330329226000	凤垟乡	4
330329227000	东溪乡	4
330329228000	柳峰乡	4
330329229000	雪溪乡	4
330329230000	大安乡	4
330329400000	乌岩岭自然保护区	4
330371000000	温州经济技术开发区	3
330371005000	海城街道	4
330371008000	沙城街道	4
330371009000	天河街道	4
330371011000	星海街道	4
330381000000	瑞安市	3
330381001000	安阳街道	4
330381002000	玉海街道	4
330381003000	锦湖街道	4
330381004000	东山街道	4
330381005000	上望街道	4
330381007000	莘塍街道	4
330381008000	汀田街道	4
330381009000	飞云街道	4
330381010000	仙降街道	4
330381011000	南滨街道	4
330381012000	潘岱街道	4
330381013000	云周街道	4
330381101000	塘下镇	4
330381116000	马屿镇	4
330381120000	陶山镇	4
330381122000	湖岭镇	4
330381125000	高楼镇	4
330381126000	桐浦镇	4
330381127000	林川镇	4
330381128000	曹村镇	4
330381129000	平阳坑镇	4
330381221000	芳庄乡	4
330381222000	北麂乡	4
330382000000	乐清市	3
330382001000	城东街道	4
330382002000	乐成街道	4
330382003000	城南街道	4
330382004000	盐盆街道	4
330382005000	翁垟街道	4
330382006000	白石街道	4
330382007000	石帆街道	4
330382008000	天成街道	4
330382101000	大荆镇	4
330382102000	仙溪镇	4
330382104000	雁荡镇	4
330382105000	芙蓉镇	4
330382106000	清江镇	4
330382108000	虹桥镇	4
330382111000	淡溪镇	4
330382114000	柳市镇	4
330382115000	北白象镇	4
330382121000	湖雾镇	4
330382122000	南塘镇	4
330382123000	南岳镇	4
330382124000	蒲岐镇	4
330382125000	磐石镇	4
330382210000	智仁乡	4
330382211000	龙西乡	4
330382212000	岭底乡	4
330383000000	龙港市	3
330383198000	龙港县直辖村级区划	4
330400000000	嘉兴市	2
330401000000	市辖区	3
330402000000	南湖区	3
330402007000	建设街道	4
330402008000	解放街道	4
330402009000	新嘉街道	4
330402010000	南湖街道	4
330402011000	新兴街道	4
330402012000	城南街道	4
330402013000	东栅街道	4
330402014000	长水街道	4
330402015000	七星街道	4
330402100000	凤桥镇	4
330402101000	余新镇	4
330402103000	新丰镇	4
330402105000	大桥镇	4
330411000000	秀洲区	3
330411002000	新城街道	4
330411003000	嘉北街道	4
330411004000	塘汇街道	4
330411005000	高照街道	4
330411101000	王江泾镇	4
330411103000	油车港镇	4
330411104000	新塍镇	4
330411105000	王店镇	4
330411106000	洪合镇	4
330421000000	嘉善县	3
330421001000	魏塘街道	4
330421002000	罗星街道	4
330421003000	惠民街道	4
330421102000	大云镇	4
330421103000	西塘镇	4
330421105000	干窑镇	4
330421107000	陶庄镇	4
330421111000	姚庄镇	4
330421112000	天凝镇	4
330424000000	海盐县	3
330424001000	武原街道	4
330424002000	西塘桥街道	4
330424004000	秦山街道	4
330424005000	望海街道	4
330424101000	沈荡镇	4
330424102000	百步镇	4
330424103000	于城镇	4
330424105000	澉浦镇	4
330424106000	通元镇	4
330481000000	海宁市	3
330481001000	硖石街道	4
330481002000	海洲街道	4
330481003000	海昌街道	4
330481004000	马桥街道	4
330481101000	许村镇	4
330481103000	长安镇	4
330481105000	周王庙镇	4
330481106000	丁桥镇	4
330481107000	斜桥镇	4
330481108000	黄湾镇	4
330481110000	盐官镇	4
330481112000	袁花镇	4
330482000000	平湖市	3
330482001000	当湖街道	4
330482002000	钟埭街道	4
330482003000	曹桥街道	4
330482101000	乍浦镇	4
330482102000	新埭镇	4
330482103000	新仓镇	4
330482106000	广陈镇	4
330482107000	林埭镇	4
330482108000	独山港镇	4
330483000000	桐乡市	3
330483001000	梧桐街道	4
330483003000	凤鸣街道	4
330483004000	高桥街道	4
330483100000	乌镇镇	4
330483101000	濮院镇	4
330483102000	屠甸镇	4
330483103000	石门镇	4
330483104000	河山镇	4
330483105000	洲泉镇	4
330483106000	大麻镇	4
330483107000	崇福镇	4
330500000000	湖州市	2
330501000000	市辖区	3
330502000000	吴兴区	3
330502001000	月河街道	4
330502002000	朝阳街道	4
330502003000	爱山街道	4
330502004000	飞英街道	4
330502005000	龙泉街道	4
330502006000	凤凰街道	4
330502007000	康山街道	4
330502008000	仁皇山街道	4
330502009000	滨湖街道	4
330502010000	龙溪街道	4
330502011000	杨家埠街道	4
330502012000	环渚街道	4
330502013000	湖东街道	4
330502100000	织里镇	4
330502101000	八里店镇	4
330502102000	妙西镇	4
330502104000	埭溪镇	4
330502105000	东林镇	4
330502200000	道场乡	4
330503000000	南浔区	3
330503100000	南浔镇	4
330503101000	双林镇	4
330503102000	练市镇	4
330503103000	善琏镇	4
330503104000	旧馆镇	4
330503105000	菱湖镇	4
330503106000	和孚镇	4
330503107000	千金镇	4
330503108000	石淙镇	4
