420000  湖北省	1
420100000000	武汉市	2
420101000000	市辖区	3
420102000000	江岸区	3
420102002000	大智街道	4
420102003000	一元街道	4
420102004000	车站街道	4
420102005000	四唯街道	4
420102006000	永清街道	4
420102007000	西马街道	4
420102008000	球场街道	4
420102009000	劳动街道	4
420102010000	二七街道	4
420102011000	新村街道	4
420102012000	丹水池街道	4
420102014000	台北街道	4
420102015000	花桥街道	4
420102016000	谌家矶街道	4
420102017000	后湖街道	4
420102018000	塔子湖街道	4
420102400000	百步亭花园	4
420103000000	江汉区	3
420103001000	民族街街道	4
420103002000	花楼街街道	4
420103003000	水塔街街道	4
420103004000	民权街街道	4
420103005000	满春街街道	4
420103006000	民意街街道	4
420103007000	新华街街道	4
420103008000	万松街街道	4
420103009000	唐家墩街街道	4
420103010000	北湖街街道	4
420103011000	前进街街道	4
420103012000	常青街街道	4
420103013000	汉兴街街道	4
420103400000	江汉经济开发区	4
420103401000	武汉中央商务区管理委员会	4
420104000000	硚口区	3
420104001000	古田街道	4
420104002000	韩家墩街道	4
420104003000	宗关街道	4
420104004000	汉水桥街道	4
420104005000	宝丰街道	4
420104006000	荣华街道	4
420104008000	汉中街道	4
420104009000	汉正街道	4
420104010000	六角亭街道	4
420104011000	长丰街道	4
420104012000	易家街道	4
420105000000	汉阳区	3
420105002000	建桥街道	4
420105004000	晴川街道	4
420105005000	鹦鹉街道	4
420105006000	洲头街道	4
420105007000	五里墩街道	4
420105008000	琴断口街道	4
420105009000	江汉二桥街道	4
420105010000	永丰街道	4
420105011000	江堤街道	4
420105012000	四新街道	4
420105013000	龙阳街道	4
420106000000	武昌区	3
420106001000	积玉桥街道	4
420106002000	杨园街道	4
420106003000	徐家棚街道	4
420106005000	粮道街道	4
420106006000	中华路街道	4
420106007000	黄鹤楼街道	4
420106008000	紫阳街道	4
420106009000	白沙洲街道	4
420106010000	首义路街道	4
420106011000	中南路街道	4
420106012000	水果湖街道	4
420106013000	珞珈山街道	4
420106014000	石洞街道	4
420106015000	南湖街道	4
420106490000	东湖风景区街道（武昌）	4
420107000000	青山区	3
420107001000	红卫路街道	4
420107002000	冶金街道	4
420107003000	新沟桥街道	4
420107004000	红钢城街道	4
420107005000	工人村街道	4
420107006000	青山镇街道	4
420107007000	厂前街道	4
420107008000	武东街道	4
420107009000	白玉山街道	4
420107010000	钢花村街道	4
420107400000	武钢集团	4
420107401000	中国一冶有限责任公司	4
420107402000	武汉钢铁有限公司	4
420107403000	中国一冶集体企业管理处	4
420107404000	开发区	4
420107405000	钢都花园	4
420107406000	北湖工业园管理办公室	4
420111000000	洪山区	3
420111001000	珞南街道	4
420111002000	关山街道	4
420111003000	狮子山街道	4
420111004000	张家湾街道	4
420111005000	梨园街道	4
420111006000	卓刀泉街道	4
420111007000	洪山街街道	4
420111008000	和平街道	4
420111009000	青菱街道	4
420111061000	八吉府街道	4
420111080000	关东街道	4
420111081000	花山街道	4
420111082000	左岭街道	4
420111083000	九峰街道	4
420111205000	天兴乡	4
420111460000	清谭湖街道	4
420111491000	东湖风景区街道（洪山）	4
420112000000	东西湖区	3
420112001000	吴家山街道	4
420112002000	柏泉办事处街道	4
420112004000	将军路街道	4
420112005000	慈惠街道	4
420112006000	走马岭街道	4
420112007000	径河街道	4
420112008000	长青街道	4
420112011000	辛安渡办事处街道	4
420112012000	东山办事处街道	4
420112013000	常青花园新区管理委员会街道	4
420112014000	新沟镇街道	4
420112015000	金银湖街道	4
420112400000	产业管理处	4
420112401000	保税物流管理处	4
420112402000	海峡两岸科技产业管理处	4
420112403000	食品工业管理处	4
420112404000	临空经济管理处	4
420112405000	农科所管理处	4
420112406000	现代服务业管理处	4
420113000000	汉南区	3
420113001000	纱帽街道	4
420113002000	邓南街道	4
420113003000	东荆街道	4
420113004000	湘口街道	4
420114000000	蔡甸区	3
420114001000	蔡甸街道	4
420114002000	奓山街道	4
420114003000	永安街道	4
420114004000	侏儒山街道	4
420114005000	大集街道	4
420114006000	张湾街道	4
420114007000	索河街道	4
420114008000	玉贤街道	4
420114070000	沌口街道	4
420114071000	军山街道	4
420114072000	沌阳街道	4
420114200000	消泗乡	4
420114400000	桐湖	4
420114401000	侏儒山街道洪北片区	4
420114404000	中法武汉生态示范城	4
420114406000	侏儒山街道成功片区	4
420114407000	蔡甸经济开发区	4
420115000000	江夏区	3
420115001000	纸坊街道	4
420115002000	金口街道	4
420115003000	乌龙泉街道	4
420115005000	郑店街道	4
420115007000	五里界街道	4
420115008000	金水街道	4
420115009000	安山街道	4
420115010000	山坡街道	4
420115014000	法泗街道	4
420115015000	湖泗街道	4
420115016000	舒安街道	4
420115086000	佛祖岭街道	4
420115087000	豹澥街道	4
420115088000	龙泉街道	4
420115089000	滨湖街道	4
