540000  西藏自治区	1
540100000000	拉萨市	2
540101000000	市辖区	3
540102000000	城关区	3
540102002000	八廓街道	4
540102003000	吉日街道	4
540102004000	吉崩岗街道	4
540102005000	扎细街道	4
540102006000	公德林街道	4
540102007000	嘎玛贡桑街道	4
540102008000	两岛街道	4
540102009000	金珠西路街道	4
540102010000	蔡公堂街道	4
540102011000	夺底街道	4
540102012000	娘热街道	4
540102013000	纳金街道	4
540103000000	堆龙德庆区	3
540103001000	东嘎街道	4
540103002000	乃琼街道	4
540103003000	羊达街道	4
540103004000	柳梧街道	4
540103102000	古荣镇	4
540103103000	马镇	4
540103104000	德庆镇	4
540104000000	达孜区	3
540104100000	德庆镇	4
540104200000	塔杰乡	4
540104201000	章多乡	4
540104202000	唐嘎乡	4
540104203000	雪乡	4
540104204000	帮堆乡	4
540121000000	林周县	3
540121100000	甘丹曲果镇	4
540121200000	春堆乡	4
540121201000	松盘乡	4
540121202000	强嘎乡	4
540121203000	卡孜乡	4
540121204000	边交林乡	4
540121205000	江热夏乡	4
540121206000	阿朗乡	4
540121207000	唐古乡	4
540121208000	旁多乡	4
540122000000	当雄县	3
540122100000	当曲卡镇	4
540122101000	羊八井镇	4
540122200000	格达乡	4
540122201000	宁中乡	4
540122202000	公塘乡	4
540122203000	龙仁乡	4
540122204000	乌玛塘乡	4
540122205000	纳木湖乡	4
540123000000	尼木县	3
540123100000	塔荣镇	4
540123101000	吞巴镇	4
540123200000	麻江乡	4
540123201000	普松乡	4
540123202000	卡如乡	4
540123203000	尼木乡	4
540123204000	续迈乡	4
540123205000	帕古乡	4
540124000000	曲水县	3
540124100000	曲水镇	4
540124101000	达嘎镇	4
540124201000	才纳乡	4
540124202000	南木乡	4
540124203000	聂当乡	4
540124204000	茶巴拉乡	4
540127000000	墨竹工卡县	3
540127100000	工卡镇	4
540127200000	扎雪乡	4
540127201000	门巴乡	4
540127202000	扎西岗乡	4
540127203000	日多乡	4
540127204000	尼玛江热乡	4
540127205000	甲玛乡	4
540127206000	唐加乡	4
540171000000	格尔木藏青工业园区	3
540171400000	藏青工业园乡	4
540172000000	拉萨经济技术开发区	3
540172400000	拉萨市经济技术开发区管委会	4
540173000000	西藏文化旅游创意园区	3
540173400000	西藏文化旅游创意园区	4
540174000000	达孜工业园区	3
540174400000	达孜县工业园区	4
540200000000	日喀则市	2
540202000000	桑珠孜区	3
540202001000	城南街道	4
540202002000	城北街道	4
540202200000	曲布雄乡	4
540202201000	曲美乡	4
540202202000	聂日雄乡	4
540202203000	甲措雄乡	4
540202204000	纳尔乡	4
540202205000	东嘎乡	4
540202206000	边雄乡	4
540202207000	江当乡	4
540202208000	年木乡	4
540202209000	联乡	4
540221000000	南木林县	3
540221100000	南木林镇	4
540221200000	达那乡	4
540221201000	卡孜乡	4
540221202000	多角乡	4
540221203000	秋木乡	4
540221204000	艾玛乡	4
540221205000	土布加乡	4
540221206000	查尔乡	4
540221207000	索金乡	4
540221208000	达孜乡	4
540221209000	奴玛乡	4
540221210000	热当乡	4
540221211000	拉布普乡	4
540221212000	普当乡	4
540221213000	仁堆乡	4
540221214000	芒热乡	4
540221215000	甲措乡	4
