500000  重庆市	1
500100000000	市辖区	2
500101000000	万州区	3
500101001000	高笋塘街道	4
500101017000	太白街道	4
500101018000	牌楼街道	4
500101019000	双河口街道	4
500101020000	龙都街道	4
500101021000	周家坝街道	4
500101022000	沙河街道	4
500101023000	钟鼓楼街道	4
500101024000	百安坝街道	4
500101025000	五桥街道	4
500101026000	陈家坝街道	4
500101109000	小周镇	4
500101110000	大周镇	4
500101123000	新乡镇	4
500101132000	孙家镇	4
500101134000	高峰镇	4
500101135000	龙沙镇	4
500101136000	响水镇	4
500101137000	武陵镇	4
500101138000	瀼渡镇	4
500101139000	甘宁镇	4
500101140000	天城镇	4
500101141000	熊家镇	4
500101142000	高梁镇	4
500101143000	李河镇	4
500101144000	分水镇	4
500101145000	余家镇	4
500101146000	后山镇	4
500101147000	弹子镇	4
500101148000	长岭镇	4
500101149000	新田镇	4
500101150000	白羊镇	4
500101151000	龙驹镇	4
500101152000	走马镇	4
500101153000	罗田镇	4
500101154000	太龙镇	4
500101155000	长滩镇	4
500101156000	太安镇	4
500101157000	白土镇	4
500101158000	郭村镇	4
500101201000	柱山乡	4
500101212000	铁峰乡	4
500101225000	溪口乡	4
500101226000	长坪乡	4
500101227000	燕山乡	4
500101234000	梨树乡	4
500101237000	普子乡	4
500101238000	地宝土家族乡	4
500101239000	恒合土家族乡	4
500101244000	黄柏乡	4
500101245000	九池乡	4
500101247000	茨竹乡	4
500102000000	涪陵区	3
500102006000	敦仁街道	4
500102007000	崇义街道	4
500102008000	荔枝街道	4
500102009000	江北街道	4
500102010000	江东街道	4
500102011000	李渡街道	4
500102012000	龙桥街道	4
500102013000	白涛街道	4
500102014000	马鞍街道	4
500102103000	南沱镇	4
500102107000	青羊镇	4
500102118000	百胜镇	4
500102119000	珍溪镇	4
500102120000	清溪镇	4
500102121000	焦石镇	4
500102122000	马武镇	4
500102123000	龙潭镇	4
500102124000	蔺市镇	4
500102125000	新妙镇	4
500102126000	石沱镇	4
500102127000	义和镇	4
500102204000	罗云乡	4
500102206000	大木乡	4
500102208000	武陵山乡	4
500102216000	大顺乡	4
500102217000	增福乡	4
500102222000	同乐乡	4
500103000000	渝中区	3
500103001000	七星岗街道	4
500103003000	解放碑街道	4
500103004000	两路口街道	4
500103005000	上清寺街道	4
500103007000	菜园坝街道	4
500103008000	南纪门街道	4
500103010000	朝天门街道	4
500103011000	大溪沟街道	4
500103012000	大坪街道	4
500103013000	化龙桥街道	4
500103014000	石油路街道	4
500104000000	大渡口区	3
500104001000	新山村街道	4
500104002000	跃进村街道	4
500104003000	九宫庙街道	4
500104004000	茄子溪街道	4
500104005000	春晖路街道	4
500104101000	八桥镇	4
500104102000	建胜镇	4
500104103000	跳磴镇	4
500105000000	江北区	3
500105001000	华新街街道	4
500105002000	江北城街道	4
500105003000	石马河街道	4
500105004000	大石坝街道	4
500105005000	寸滩街道	4
500105006000	观音桥街道	4
500105007000	五里店街道	4
500105008000	郭家沱街道	4
500105009000	铁山坪街道	4
500105100000	鱼嘴镇	4
500105101000	复盛镇	4
500105102000	五宝镇	4
500106000000	沙坪坝区	3
500106001000	小龙坎街道	4
500106002000	沙坪坝街道	4
500106003000	渝碚路街道	4
500106004000	磁器口街道	4
500106005000	童家桥街道	4
500106006000	石井坡街道	4
500106007000	双碑街道	4
500106008000	井口街道	4
500106009000	歌乐山街道	4
500106010000	山洞街道	4
500106011000	新桥街道	4
500106012000	天星桥街道	4
500106013000	土湾街道	4
500106014000	覃家岗街道	4
500106015000	陈家桥街道	4
500106016000	虎溪街道	4
500106017000	西永街道	4
500106018000	联芳街道	4
500106019000	丰文街道	4
500106020000	香炉山街道	4
500106104000	青木关镇	4
500106105000	凤凰镇	4
500106106000	回龙坝镇	4
500106108000	曾家镇	4
500106111000	土主镇	4
500106112000	中梁镇	4
500107000000	九龙坡区	3
500107001000	杨家坪街道	4
500107002000	黄桷坪街道	4
500107003000	谢家湾街道	4
500107004000	石坪桥街道	4
500107005000	石桥铺街道	4
500107006000	中梁山街道	4
500107007000	渝州路街道	4
500107008000	二郎街道	4
500107100000	九龙镇	4
500107102000	华岩镇	4
500107103000	含谷镇	4
500107104000	金凤镇	4
500107105000	白市驿镇	4
500107106000	走马镇	4
500107107000	石板镇	4
500107108000	巴福镇	4
500107109000	陶家镇	4
500107110000	西彭镇	4
500107111000	铜罐驿镇	4
500108000000	南岸区	3
500108001000	铜元局街道	4
500108002000	花园路街道	4
500108003000	南坪街道	4
500108004000	海棠溪街道	4
500108005000	龙门浩街道	4
500108006000	弹子石街道	4
500108007000	南山街道	4
500108008000	天文街道	4
500108101000	南坪镇	4
500108102000	涂山镇	4
500108103000	鸡冠石镇	4
500108105000	峡口镇	4
500108106000	长生桥镇	4
500108107000	迎龙镇	4
500108108000	广阳镇	4
500109000000	北碚区	3
500109001000	天生街道	4
500109002000	朝阳街道	4
500109003000	北温泉街道	4
500109004000	东阳街道	4
500109005000	龙凤桥街道	4
500109006000	蔡家岗街道	4
500109007000	歇马街道	4
500109008000	水土街道	4
500109009000	复兴街道	4
500109102000	澄江镇	4
500109104000	童家溪镇	4
500109105000	天府镇	4
500109108000	施家梁镇	4
500109110000	静观镇	4
500109111000	柳荫镇	4
500109113000	三圣镇	4
500109116000	金刀峡镇	4
500110000000	綦江区	3
