630000  青海省	1
630100000000	西宁市	2
630101000000	市辖区	3
630102000000	城东区	3
630102001000	东关大街街道	4
630102002000	清真巷街道	4
630102003000	大众街街道	4
630102004000	周家泉街道	4
630102005000	火车站街道	4
630102006000	八一路街道	4
630102007000	林家崖街道	4
630102100000	乐家湾镇	4
630102101000	韵家口镇	4
630102400000	东川工业园	4
630103000000	城中区	3
630103001000	人民街街道	4
630103002000	南滩街道	4
630103003000	仓门街街道	4
630103004000	礼让街街道	4
630103005000	饮马街街道	4
630103006000	南川东路街道	4
630103007000	南川西路街道	4
630103100000	总寨镇	4
630103400000	南川工业园	4
630104000000	城西区	3
630104001000	西关大街街道	4
630104002000	古城台街道	4
630104003000	虎台街道	4
630104004000	胜利路街道	4
630104005000	兴海路街道	4
630104006000	文汇路街道	4
630104007000	通海路街道	4
630104100000	彭家寨镇	4
630105000000	城北区	3
630105001000	朝阳街道	4
630105002000	小桥大街街道	4
630105003000	马坊街道	4
630105004000	火车西站街道	4
630105100000	大堡子镇	4
630105101000	廿里铺镇	4
630105400000	生物科技产业园	4
630121000000	大通回族土族自治县	3
630121100000	桥头镇	4
630121101000	城关镇	4
630121102000	塔尔镇	4
630121103000	东峡镇	4
630121104000	黄家寨镇	4
630121105000	长宁镇	4
630121106000	景阳镇	4
630121107000	多林镇	4
630121108000	新庄镇	4
630121200000	青林乡	4
630121201000	青山乡	4
630121202000	逊让乡	4
630121203000	极乐乡	4
630121204000	石山乡	4
630121205000	宝库乡	4
630121206000	斜沟乡	4
630121207000	良教乡	4
630121208000	向化藏族乡	4
630121209000	桦林乡	4
630121210000	朔北藏族乡	4
630122000000	湟中县	3
630122001000	康川街道	4
630122100000	鲁沙尔镇	4
630122101000	西堡镇	4
630122102000	上新庄镇	4
630122103000	田家寨镇	4
630122104000	甘河滩镇	4
630122105000	共和镇	4
630122106000	多巴镇	4
630122107000	拦隆口镇	4
630122108000	上五庄镇	4
630122109000	李家山镇	4
630122200000	群加乡	4
630122201000	土门关乡	4
630122202000	汉东乡	4
630122203000	大才乡	4
630122204000	海子沟乡	4
630122400000	甘河工业园	4
630123000000	湟源县	3
630123100000	城关镇	4
630123101000	大华镇	4
630123200000	东峡乡	4
630123201000	日月乡	4
630123202000	和平乡	4
630123203000	波航乡	4
630123204000	申中乡	4
630123205000	巴燕乡	4
630123206000	寺寨乡	4
630200000000	海东市	2
630202000000	乐都区	3
630202100000	碾伯镇	4
630202101000	雨润镇	4
630202102000	寿乐镇	4
630202103000	高庙镇	4
630202104000	洪水镇	4
630202105000	高店镇	4
630202106000	瞿昙镇	4
630202200000	共和乡	4
630202201000	中岭乡	4
630202202000	李家乡	4
630202203000	下营乡	4
630202204000	芦花乡	4
630202205000	马营乡	4
630202206000	马厂乡	4
630202207000	蒲台乡	4
630202208000	中坝乡	4
630202209000	峰堆乡	4
630202210000	城台乡	4
630202211000	达拉乡	4
630202400000	海东工业园区乐都工业园	4
630203000000	平安区	3
630203100000	平安镇	4
630203101000	小峡镇	4
630203102000	三合镇	4
630203200000	洪水泉乡	4
630203201000	石灰窑乡	4
630203202000	古城乡	4
630203203000	沙沟乡	4
630203204000	巴藏沟乡	4
630203400000	曹家堡临空综合经济园平安园区	4
630222000000	民和回族土族自治县	3
630222100000	川口镇	4
630222101000	古鄯镇	4
630222102000	马营镇	4
630222103000	官亭镇	4
630222104000	巴州镇	4
630222105000	满坪镇	4
630222106000	李二堡镇	4
630222107000	峡门镇	4
630222200000	马场垣乡	4
630222201000	北山乡	4
630222202000	松树乡	4
630222203000	西沟乡	4
630222204000	总堡乡	4
630222205000	隆治乡	4
630222206000	大庄乡	4
630222207000	转导乡	4
630222208000	前河乡	4
630222209000	甘沟乡	4
630222210000	中川乡	4
630222211000	杏儿乡	4
630222212000	核桃庄乡	4
630222213000	新民乡	4
630223000000	互助土族自治县	3
630223100000	威远镇	4
630223101000	丹麻镇	4
630223102000	高寨镇	4
630223103000	南门峡镇	4
630223104000	加定镇	4
630223105000	塘川镇	4
630223106000	五十镇	4
630223107000	五峰镇	4
630223200000	台子乡	4
630223201000	西山乡	4
630223202000	红崖子沟乡	4
630223203000	巴扎藏族乡	4
630223204000	哈拉直沟乡	4
630223205000	松多藏族乡	4
630223206000	东山乡	4
630223207000	东和乡	4
630223208000	东沟乡	4
630223209000	林川乡	4
630223210000	蔡家堡乡	4
630223400000	曹家堡临空综合经济园互助园区	4
630224000000	化隆回族自治县	3
630224100000	巴燕镇	4
630224101000	群科镇	4
630224102000	牙什尕镇	4
630224103000	甘都镇	4
630224104000	扎巴镇	4
630224105000	昂思多镇	4
630224200000	雄先藏族乡	4
630224201000	初麻乡	4
630224202000	查甫藏族乡	4
630224203000	塔加藏族乡	4
630224204000	金源藏族乡	4
630224205000	二塘乡	4
630224206000	谢家滩乡	4
630224207000	德恒隆乡	4
630224208000	沙连堡乡	4
630224209000	阿什奴乡	4
630224210000	石大仓乡	4
630225000000	循化撒拉族自治县	3
630225100000	积石镇	4
630225101000	白庄镇	4
630225102000	街子镇	4
630225200000	道帏藏族乡	4
630225201000	清水乡	4
630225202000	岗察藏族乡	4
630225203000	查汗都斯乡	4
630225204000	文都藏族乡	4
630225205000	尕楞藏族乡	4
632200000000	海北藏族自治州	2
632221000000	门源回族自治县	3
632221100000	浩门镇	4
632221101000	青石咀镇	4
632221102000	泉口镇	4
632221103000	东川镇	4
632221200000	北山乡	4
632221201000	麻莲乡	4
632221202000	西滩乡	4
632221203000	阴田乡	4
632221204000	仙米乡	4
632221205000	珠固乡	4
632221206000	苏吉滩乡	4
632221207000	皇城蒙古族乡	4
632221400000	门源监狱	4
632221401000	门源种马场	4
632222000000	祁连县	3
632222100000	八宝镇	4
632222101000	峨堡镇	4
632222102000	默勒镇	4
632222200000	扎麻什乡	4
632222201000	阿柔乡	4
632222202000	野牛沟乡	4
632222203000	央隆乡	4
632223000000	海晏县	3
632223100000	三角城镇	4
632223101000	西海镇	4
632223200000	金滩乡	4
632223201000	哈勒景蒙古族乡	4
632223202000	青海湖乡	4
632223203000	甘子河乡	4
632224000000	刚察县	3
632224100000	沙柳河镇	4
632224101000	哈尔盖镇	4
632224200000	伊克乌兰乡	4
632224201000	泉吉乡	4
632224202000	吉尔孟乡	4
632300000000	黄南藏族自治州	2
632321000000	同仁县	3
632321100000	隆务镇	4
632321101000	保安镇	4
632321102000	多哇镇	4
632321200000	兰采乡	4
632321201000	双朋西乡	4
632321202000	扎毛乡	4
632321203000	黄乃亥乡	4
632321204000	曲库乎乡	4
632321205000	年都乎乡	4
632321207000	瓜什则乡	4
632321208000	加吾乡	4
632322000000	尖扎县	3
632322100000	马克堂镇	4
632322101000	康扬镇	4
632322102000	坎布拉镇	4
632322200000	贾加乡	4
